Путь 17.07.24_1_out.csv_профиль_левый 17.07.24_1_out.csv_профиль_правый 17.07.24_2_in.csv_профиль_левый 17.07.24_2_in.csv_профиль_правый 17.07.24_3_out.csv_профиль_левый 17.07.24_3_out.csv_профиль_правый 17.07.24_4_in.csv_профиль_левый 17.07.24_4_in.csv_профиль_правый 17.07.24_5_out.csv_профиль_левый 17.07.24_5_out.csv_профиль_правый 17.07.24_6_in.csv_профиль_левый 17.07.24_6_in.csv_профиль_правый 17.07.24_7_out.csv_профиль_левый 17.07.24_7_out.csv_профиль_правый СКО_левый СКО_правый
55,000 0,06581484 0,05606025 0,07105002 0,05297282 0,06509601 0,0561531 0,06871826 0,05544549 0,06503334 0,05889445 0,06532135 0,05821548 0,06465238 0,05904605 0,00223649 0,00202796
56,000 0,06386992 0,06047871 0,06901634 0,05744589 0,06551331 0,05817939 0,0684221 0,05816118 0,06271911 0,06354591 0,06525067 0,06059383 0,06250394 0,06360714 0,0023942 0,00235456
57,000 0,06840352 0,05875958 0,07207341 0,05711481 0,06757913 0,05893295 0,0719772 0,05728642 0,06518336 0,063665 0,06675722 0,06169245 0,06381837 0,06498784 0,00292058 0,00289557
58,000 0,0686302 0,06163655 0,07199824 0,06027558 0,0672824 0,06235052 0,07288696 0,05942733 0,06642087 0,06549213 0,06726004 0,06417021 0,06441152 0,06737795 0,00281591 0,00265124
59,000 0,0686101 0,06533881 0,07168377 0,06418991 0,06587876 0,06746579 0,07245458 0,0634614 0,06783042 0,06752706 0,06731649 0,0675772 0,06611648 0,06920069 0,00239543 0,00193766
60,000 0,06890596 0,06949471 0,07152917 0,06877261 0,06899782 0,06872435 0,07241165 0,06781691 0,0673176 0,07207897 0,06799638 0,07103177 0,06620289 0,07329693 0,0020594 0,00185934
61,000 0,07014096 0,07343954 0,07590998 0,06955845 0,07075949 0,07210897 0,07431181 0,07105073 0,06805493 0,07617232 0,06984692 0,07415602 0,06998709 0,07449042 0,00257246 0,00207888
62,000 0,07308099 0,07650984 0,07802988 0,07346933 0,07253252 0,0762992 0,07544241 0,07583043 0,0703546 0,07955291 0,07184656 0,07798178 0,06906638 0,08114182 0,00280897 0,00235267
63,000 0,07818651 0,07809765 0,08248223 0,07569272 0,0769575 0,07847513 0,08158938 0,07629325 0,07461957 0,08168661 0,07578352 0,08058539 0,07251017 0,08418451 0,00334735 0,00281284
64,000 0,08340495 0,07988963 0,08689362 0,07827872 0,08285086 0,07957606 0,08809334 0,07669617 0,07915837 0,0840628 0,08141778 0,08189072 0,07832726 0,08533627 0,00338654 0,0028769
65,000 0,08714045 0,08303778 0,09210515 0,07994494 0,08759955 0,08167542 0,09178395 0,07988343 0,08396468 0,0861894 0,0866145 0,08359769 0,08294321 0,08760973 0,0032454 0,00273746
66,000 0,09229721 0,08453144 0,09735282 0,08130462 0,09236452 0,0835263 0,09589419 0,08240396 0,09138826 0,08551616 0,09109626 0,08577573 0,0880464 0,08921236 0,0028796 0,00240043
67,000 0,0952212 0,08798645 0,10072815 0,08434856 0,09607743 0,08617971 0,10007482 0,08460955 0,09315977 0,09031303 0,09463619 0,08868854 0,09218397 0,09163586 0,00302513 0,00257654
68,000 0,09838756 0,09097219 0,10496427 0,08626693 0,09896212 0,08937957 0,10285518 0,08797889 0,09780815 0,09198132 0,09860301 0,09092162 0,09451413 0,09553659 0,00318803 0,00276359
69,000 0,10123008 0,09404902 0,10872522 0,08846389 0,10374944 0,09053828 0,10818622 0,08859591 0,10137795 0,09444796 0,10229777 0,09317268 0,10152531 0,09452494 0,00300871 0,0025118
70,000 0,10554354 0,09562918 0,11292999 0,09011792 0,10538462 0,09469922 0,10949701 0,09312198 0,10398076 0,09774488 0,10524546 0,09606293 0,10496159 0,09695543 0,00298033 0,00239857
71,000 0,10782138 0,09918199 0,11496462 0,09390513 0,10827275 0,09757409 0,11053221 0,0978831 0,10598716 0,10152128 0,10720997 0,09989196 0,10497693 0,10277604 0,00308947 0,00269052
72,000 0,10950568 0,10337175 0,11446335 0,10018376 0,10951362 0,10217205 0,11339798 0,10084964 0,10901998 0,10429781 0,10892024 0,10398056 0,10670684 0,1069107 0,00252379 0,00211236
73,000 0,1127681 0,1057691 0,1167587 0,10366921 0,10997715 0,10741693 0,1159402 0,10409524 0,10940463 0,10971849 0,1110434 0,1075799 0,10952377 0,10987478 0,00283722 0,00230223
