Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
673,90545654297 88753 -1,624 <_____> 1519,08 <Интегр-Навиг> 62,1479 0,0617325 -0,637572 -3,82636 2,21866 0 55,76364678553 37,72268205073 161,33488464355 0,103015 9,97806 -0,891459
673,45440673828 89114 -1,62378 <_____> 1517,26 <Интегр-Навиг> 62,1475 0,0255451 -0,625134 -3,92112 2,25226 0 55,76364332182 37,72268559700 161,33357238770 -0,569801 9,51483 0,666259
673,00329589844 89469 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1719 0,0993841 -0,618991 -3,97333 2,27936 0 55,76363986045 37,72268913715 161,31774902344 -0,330461 9,57411 -0,240292
672,55224609375 89816 -1,624 Piket 1517,05 <Интегр-Навиг> 62,2218 -0,0733778 -0,625569 -3,99454 2,30137 0 55,76363584000 37,72269261582 161,31626892090 0,206847 10,2027 -0,582836
672,10113525391 90166 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,2445 -0,0198537 -0,681203 -4,00172 2,30722 0 55,76363232706 37,72269619967 161,31451416016 0,00416487 10,6358 -0,519252
671,65008544922 90518 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,2529 -0,0252157 -0,691449 -3,91829 2,25016 0 55,76362795229 37,72269927470 161,28788757324 -0,170699 9,78809 0,600191
671,19897460938 90871 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,2306 -0,0357046 -0,729762 -3,98924 2,28778 0 55,76362446927 37,72270281696 161,28601074219 -0,339908 9,42748 0,581196
670,74792480469 91219 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,2268 0,0380943 -0,768643 -4,02604 2,30668 0 55,76362098929 37,72270635003 161,28427124023 -0,031204 10,1737 -0,941779
670,29687500000 91565 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,2346 -0,0782114 -0,82036 -4,01383 2,29053 0 55,76361697875 37,72270988418 161,25801086426 -0,22118 10,0482 0,278058
669,84576416016 91919 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,2275 -0,00159357 -0,862112 -3,93154 2,25457 0 55,76361349440 37,72271343021 161,25526428223 -0,840081 9,24442 0,390606
669,39471435547 92278 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,2063 0,152836 -0,909361 -3,854 2,22183 0 55,76360999019 37,72271699042 161,25201416016 -0,0112858 9,7311 -0,26948
668,94360351563 92638 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1927 0,150505 -0,967874 -3,91016 2,23809 0 55,76360611069 37,72271980187 161,19396972656 0,0938142 10,3119 -1,24637
668,49255371094 93001 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1801 0,392767 -0,991271 -3,87489 2,21001 0 55,76360262827 37,72272334190 161,18830871582 -0,902869 8,59042 0,652671
668,04150390625 93361 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1877 0,467707 -1,02109 -3,85529 2,21212 0 55,76359914033 37,72272687779 161,18164062500 0,136177 10,0412 -0,481158
667,59039306641 93726 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1967 0,565445 -1,02781 -3,84797 2,19361 0 55,76359571661 37,72272839094 161,12211608887 0,0989642 10,3607 -0,964782
667,13934326172 94096 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1986 0,67626 -1,02654 -3,74715 2,1384 0 55,76359224657 37,72273190295 161,11306762695 -0,907722 9,18098 0,38644
666,68823242188 94471 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1823 0,613408 -1,00765 -3,66052 2,08737 0 55,76358871326 37,72273548605 161,10302734375 0,572115 10,1663 -1,01756
666,23718261719 94853 -3,24778 <_____> 1517,05 <Интегр-Навиг> 62,1527 0,770176 -0,98246 -3,73152 2,13881 0 55,76358478276 37,72273924846 161,05998229980 0,461006 10,2308 -0,582298
665,78613281250 95220 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1614 0,473743 -0,982311 -3,93097 2,21586 0 55,76358129929 37,72274277432 161,04890441895 -0,072354 9,72937 -0,373955
665,33502197266 95585 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,1254 0,805359 -0,915728 -3,86534 2,19355 0 55,76357712360 37,72274677980 161,04830932617 -0,614302 9,71235 1,02299
664,88397216797 95957 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,1271 0,682073 -0,840015 -3,54396 2,04546 0 55,76357368093 37,72275025847 161,03826904297 0,995138 10,6056 -0,704405
664,43286132813 96368 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,0827 0,727648 -0,767356 -3,3404 1,9306 0 55,76357015451 37,72275385639 161,02772521973 1,07779 10,8785 -0,444292
663,98181152344 96790 -1,624 <_____> 1517,05 <Интегр-Навиг> 62,0836 0,254267 -0,747518 -3,32079 1,91313 0 55,76356680173 37,72275766456 161,05021667480 -1,55874 8,76173 -0,157523
663,53076171875 97209 -1,62378 <_____> 1517,05 <Интегр-Навиг> 62,0927 -0,38052 -0,731251 -3,2862 1,90461 0 55,76356332186 37,72276123197 161,04524230957 -0,480735 10,0903 -1,44375
