Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
701,87207031250 64510 0 Piket 1490,59 <Интегр-Навиг> 62,7766 0,182115 -1,00187 -2,67792 1,59101 0 55,76386342775 37,72247898913 161,28462219238 -1,00212 8,92497 2,10216
110,51327514648 549785 -1,62386 <_____> 1532,01 <Интегр-Навиг> 46,056 -0,37792 -0,47954 -4,53373 4,18971 0 55,75928507245 37,72719871132 165,91838073730 -0,714941 9,5224 -0,0509769
110,06220245361 550049 -1,62386 <_____> 1529,99 <Интегр-Навиг> 46,0396 -0,272697 -0,497247 -4,49472 4,16233 0 55,75928214489 37,72720351359 165,94102478027 0,034126 9,6316 -0,546957
109,61112976074 550313 -3,24775 Piket 1527,16 <Интегр-Навиг> 46,0402 -0,232626 -0,515589 -4,54349 4,20376 0 55,75927913528 37,72720845263 165,96379089355 -0,127844 9,74325 -0,448104
109,16004943848 550576 -1,62386 <_____> 1525,74 <Интегр-Навиг> 46,0091 -0,151498 -0,503768 -4,52545 4,2041 0 55,75927680381 37,72721303724 165,96603393555 0,0988389 9,93621 0,568631
108,70897674561 550841 -1,62386 <_____> 1524,73 <Интегр-Навиг> 45,995 -0,0878388 -0,46884 -4,46303 4,14781 0 55,75927380926 37,72721795480 165,98762512207 0,317308 9,89953 0,266138
108,25790405273 551108 -3,24775 <_____> 1523,72 <Интегр-Навиг> 46,0149 -0,0485006 -0,44971 -4,49503 4,16668 0 55,75927083092 37,72722283375 166,00929260254 0,100127 9,38158 -0,44853
107,80683135986 551367 -1,62386 <_____> 1523,52 <Интегр-Навиг> 46,0108 -0,0688519 -0,430329 -4,67012 4,32601 0 55,75926785866 37,72722771841 166,02969360352 -0,135321 10,1853 0,534961
107,35575866699 551619 -1,62386 <_____> 1523,52 <Интегр-Навиг> 46,0616 -0,0875816 -0,396301 -4,79701 4,43484 0 55,75926470847 37,72723347333 166,04109191895 0,984398 10,1646 0,730626
106,90467834473 551869 -3,24772 <_____> 1523,52 <Интегр-Навиг> 46,094 -0,0423573 -0,387526 -4,76268 4,40982 0 55,75926176644 37,72723830486 166,05987548828 -0,321054 9,92569 -0,177773
106,45360565186 552120 -1,62389 <_____> 1523,52 <Интегр-Навиг> 46,161 0,112648 -0,380418 -4,77493 4,4193 0 55,75925875460 37,72724324993 166,07875061035 0,408164 10,2896 0,626879
106,00253295898 552370 -1,62389 <_____> 1523,52 <Интегр-Навиг> 46,1677 0,117721 -0,343582 -4,80403 4,41912 0 55,75925580490 37,72724807484 166,09666442871 -0,517702 9,55774 -0,587972
105,55145263672 552615 -3,24772 <_____> 1523,12 <Интегр-Навиг> 46,1789 0,132682 -0,310958 -4,94042 4,57546 0 55,75925314065 37,72725296685 166,11062622070 0,486413 10,4469 0,580906
105,10037994385 552855 -3,24772 <_____> 1522,51 <Интегр-Навиг> 46,1647 0,0668659 -0,272757 -4,93232 4,56582 0 55,75925016791 37,72725783517 166,12776184082 0,529303 10,2032 0,681521
104,64930725098 553099 -3,24775 <_____> 1521,5 <Интегр-Навиг> 46,1663 0,136312 -0,24476 -4,85183 4,50896 0 55,75924715511 37,72726277172 166,14540100098 0,748177 9,88498 0,793456
104,19823455811 553343 -1,62386 <_____> 1521,1 <Интегр-Навиг> 46,1304 0,167041 -0,219723 -4,88248 4,51361 0 55,75924424149 37,72726755224 166,16246032715 0,427939 10,1465 0,803665
103,74716186523 553587 -1,62386 <_____> 1520,69 <Интегр-Навиг> 46,0881 0,128087 -0,19465 -4,85679 4,50181 0 55,75924128932 37,72727341854 166,16918945313 -0,366888 10,1711 -0,0303765
103,29608154297 553828 -3,24772 <_____> 1520,09 <Интегр-Навиг> 46,0554 0,229853 -0,180259 -4,94412 4,56976 0 55,75923836083 37,72727823006 166,18640136719 -0,499215 9,68931 -0,814835
102,84500885010 554068 -3,24772 <_____> 1519,68 <Интегр-Навиг> 46,0916 0,0935062 -0,163679 -4,94843 4,59856 0 55,75923540194 37,72728309783 166,20336914063 0,127281 10,2729 -0,055264
102,39393615723 554310 -3,24775 <_____> 1519,28 <Интегр-Навиг> 46,1112 0,159702 -0,153618 -4,8899 4,53499 0 55,75923246009 37,72728793263 166,22082519531 0,153061 9,29602 0,00322168
101,94285583496 554552 -1,62386 <_____> 1519,08 <Интегр-Навиг> 46,1615 0,0250011 -0,177489 -4,90214 4,52513 0 55,75922944532 37,72729289143 166,20957946777 0,708677 10,3778 0,818973
101,49178314209 554794 -1,62386 <_____> 1517,66 <Интегр-Навиг> 46,1217 0,0396944 -0,173535 -4,87787 4,5342 0 55,75922706669 37,72729869330 166,22702026367 -0,469986 9,62755 -0,693756
101,04071044922 555037 -3,24775 <_____> 1517,05 <Интегр-Навиг> 46,0981 -0,04737 -0,207794 -4,82857 4,47716 0 55,75922415503 37,72730348630 166,24447631836 0,484219 9,41283 0,471597
100,58963775635 555285 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,07 0,00431886 -0,236334 -4,7426 4,41404 0 55,75922112861 37,72730847104 166,26306152344 -0,713905 9,95763 -0,162503
100,13856506348 555536 -1,62386 <_____> 1516,85 <Интегр-Навиг> 46,0737 -0,0232675 -0,252025 -4,69242 4,34021 0 55,75921821998 37,72731326108 166,25471496582 -0,504994 8,95504 -1,14106
99,68748474121 555791 -3,24772 Piket 1516,04 <Интегр-Навиг> 46,0901 0,0297957 -0,260596 -4,63125 4,29697 0 55,75921594441 37,72731900779 166,27297973633 0,336998 10,19 0,293358
99,23641204834 556048 -3,24772 <_____> 1515,64 <Интегр-Навиг> 46,1172 -0,0287611 -0,264358 -4,55682 4,25299 0 55,75921295176 37,72732393324 166,29142761230 -0,377289 9,88178 0,147349
98,78533935547 556311 -3,24775 <_____> 1515,64 <Интегр-Навиг> 46,1158 0,0693913 -0,255304 -4,45755 4,12421 0 55,75921002672 37,72732873817 166,30981445313 -0,406016 10,2989 -1,12664
98,33425903320 556577 -1,62386 <_____> 1515,64 <Интегр-Навиг> 46,0764 0,0980794 -0,264275 -4,46702 4,13987 0 55,75920705915 37,72733361593 166,28684997559 -0,320176 10,2096 0,610584
97,88318634033 556841 -1,62386 <_____> 1515,84 <Интегр-Навиг> 46,0473 0,0961357 -0,255261 -4,51203 4,16128 0 55,75920473502 37,72733806416 166,30509948730 -0,471201 10,3127 0,948249
97,43211364746 557108 -3,24775 <_____> 1517,26 <Интегр-Навиг> 46,0261 0,103005 -0,256063 -4,42904 4,12658 0 55,75920176103 37,72734296172 166,32296752930 0,186993 9,94684 0,759242
96,98104095459 557378 -1,62386 <_____> 1519,28 <Интегр-Навиг> 46,033 0,174434 -0,238481 -4,36079 4,0369 0 55,75919883878 37,72734776782 166,34121704102 -0,323877 10,1776 -0,284022
96,52996826172 557650 -1,62386 <_____> 1519,68 <Интегр-Навиг> 46,0679 0,090828 -0,206443 -4,37013 4,04368 0 55,75919651741 37,72735177063 166,32336425781 -0,0615234 10,1786 0,801623
96,07888793945 557924 -3,24772 <_____> 1519,88 <Интегр-Навиг> 46,1125 0,135637 -0,181837 -4,34154 4,01891 0 55,75919355097 37,72735664199 166,34173583984 0,619218 9,90336 0,23778
95,62781524658 558197 -1,62389 <_____> 1519,48 <Интегр-Навиг> 46,153 0,120248 -0,156841 -4,34569 4,02913 0 55,75919058534 37,72736150893 166,35998535156 -0,27233 9,97904 -1,6874
95,17674255371 558470 -1,62389 <_____> 1518,47 <Интегр-Навиг> 46,1681 0,160871 -0,125729 -4,35267 4,01789 0 55,75918761718 37,72736637930 166,36155700684 -0,351103 10,0431 0,547394
94,72566223145 558742 -3,24772 <_____> 1517,05 <Интегр-Навиг> 46,1433 0,125383 -0,101208 -4,38381 4,06208 0 55,75918483011 37,72737233362 166,37968444824 -0,167788 9,99017 1,08106
94,27458953857 559013 -1,62389 <_____> 1516,65 <Интегр-Навиг> 46,1127 0,155741 -0,0774463 -4,36105 4,05588 0 55,75918184840 37,72737723248 166,39782714844 0,539479 9,99019 1,0335
93,82351684570 559287 -1,62386 <_____> 1515,64 <Интегр-Навиг> 46,1125 0,121682 -0,0853838 -4,32312 4,01065 0 55,75917888985 37,72738210385 166,41572570801 -0,254684 9,26725 -0,730797
93,37244415283 559562 -1,62386 <_____> 1515,03 <Интегр-Навиг> 46,1124 0,183993 -0,0993412 -4,33498 4,00964 0 55,75917632872 37,72738644582 166,40339660645 -0,377893 9,9191 1,12412
92,92137145996 559836 -3,24772 <_____> 1515,03 <Интегр-Навиг> 46,1397 0,206243 -0,116132 -4,37252 4,04302 0 55,75917337098 37,72739131187 166,42066955566 0,493344 8,62882 0,00409689
92,47029113770 560107 -1,62386 <_____> 1515,03 <Интегр-Навиг> 46,1698 0,222291 -0,132007 -4,40678 4,09198 0 55,75917037686 37,72739623232 166,43759155273 0,936303 9,73328 0,0437144
92,01921844482 560375 -1,62386 <_____> 1515,03 <Интегр-Навиг> 46,1966 0,15805 -0,155625 -4,42901 4,10566 0 55,75916743721 37,72740106641 166,45397949219 -0,31786 10,0494 0,945108
91,56814575195 560645 -3,24775 <_____> 1515,44 <Интегр-Навиг> 46,1926 0,178523 -0,175759 -4,44805 4,12362 0 55,75916524088 37,72740570539 166,43446350098 0,0397265 9,59702 -0,401593
91,11706542969 560911 -1,62386 <_____> 1516,04 <Интегр-Навиг> 46,1713 0,177867 -0,185024 -4,47542 4,15142 0 55,75916234491 37,72741046878 166,45001220703 -0,586237 9,61684 -1,08603
90,66599273682 561176 -1,62386 <_____> 1516,25 <Интегр-Навиг> 46,1463 0,220354 -0,190606 -4,47469 4,15307 0 55,75915936461 37,72741537227 166,46582031250 -0,675774 10,1926 -0,613271
90,21492004395 561441 -3,24775 <_____> 1516,45 <Интегр-Навиг> 46,1729 0,201838 -0,184209 -4,45883 4,13798 0 55,75915639355 37,72742026219 166,48146057129 -0,0641556 9,87543 0,563697
89,76384735107 561708 -1,62386 <_____> 1516,65 <Интегр-Навиг> 46,2097 0,258632 -0,169799 -4,45987 4,12235 0 55,75915404391 37,72742378326 166,44589233398 0,273784 9,69566 -0,40187
89,31277465820 561974 -1,62386 Piket 1516,85 <Интегр-Навиг> 46,2277 0,321906 -0,146927 -4,48723 4,1488 0 55,75915107406 37,72742866152 166,46055603027 -0,783013 9,55047 -0,947314
88,86169433594 562239 -3,24772 <_____> 1516,85 <Интегр-Навиг> 46,2053 0,278925 -0,111641 -4,45607 4,10951 0 55,75914809656 37,72743355624 166,47509765625 -1,07809 9,69965 -1,12939
88,41062164307 562507 -1,62389 <_____> 1517,05 <Интегр-Навиг> 46,1765 0,269372 -0,0627006 -4,37159 4,03756 0 55,75914516016 37,72743837470 166,44664001465 -0,00756513 9,89859 0,385759
87,95954895020 562777 -1,62389 <_____> 1517,05 <Интегр-Навиг> 46,1692 0,284877 -0,0208779 -4,3932 4,06206 0 55,75914215380 37,72744373089 166,46054077148 -0,366503 9,92131 -0,77551
87,50846862793 563045 -3,24772 <_____> 1517,05 <Интегр-Навиг> 46,1598 0,322837 0,0357455 -4,41777 4,06933 0 55,75913914798 37,72744867869 166,47468566895 -0,0551504 9,88324 -1,21382
87,05739593506 563313 -1,62389 <_____> 1516,85 <Интегр-Навиг> 46,1605 0,0977382 0,0243551 -4,41398 4,08785 0 55,75913620767 37,72745352116 166,49000549316 -0,358841 9,51725 0,353738
86,60632324219 563581 -1,62389 <_____> 1516,65 <Интегр-Навиг> 46,1312 -0,00294523 0,0700673 -4,36659 4,07241 0 55,75913361708 37,72746021264 166,45108032227 0,283318 9,26515 -0,678399
86,15525054932 563852 -3,24772 <_____> 1516,65 <Интегр-Навиг> 46,1162 0,0103897 0,0324547 -4,34393 4,05695 0 55,75913063992 37,72746513337 166,46697998047 0,399245 9,83109 0,267492
85,70417785645 564122 -1,62386 <_____> 1516,65 <Интегр-Навиг> 46,0607 0,00935798 0,0700464 -4,40522 4,11726 0 55,75912772668 37,72746994426 166,48298645020 -0,0675747 10,5577 0,37528
85,25309753418 564392 -1,62386 <_____> 1516,85 <Интегр-Навиг> 46,0689 -0,0969951 0,074055 -4,32432 4,01742 0 55,75912475026 37,72747486578 166,49885559082 -0,428995 10,1301 0,065523
84,80202484131 564666 -3,24775 <_____> 1517,05 <Интегр-Навиг> 46,0929 0,0456651 0,0760349 -4,34713 4,06992 0 55,75912228290 37,72747987036 166,45855712891 0,923633 9,89987 0,337459
84,35095214844 564934 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,1157 0,132034 0,071787 -4,46934 4,17231 0 55,75911935261 37,72748471802 166,47265625000 -0,387802 9,45998 -1,0524
83,89987182617 565198 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,1171 0,0636459 0,085478 -4,48362 4,18639 0 55,75911643794 37,72748953964 166,48599243164 0,0155142 9,65919 -0,494015
83,44879913330 565463 -3,24775 <_____> 1517,05 <Интегр-Навиг> 46,1036 0,11915 0,0908106 -4,40876 4,10909 0 55,75911348239 37,72749443053 166,45368957520 -0,563033 9,7322 -0,961951
82,99772644043 565731 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,1207 0,0223285 0,0854468 -4,40881 4,11025 0 55,75911066781 37,72749958094 166,46707153320 0,51615 9,93634 0,945914
82,54665374756 565999 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,13 -0,0696918 0,0625912 -4,41488 4,11535 0 55,75910766399 37,72750454893 166,48086547852 -0,953184 10,0561 -0,482052
82,09558105469 566267 -3,24772 <_____> 1517,05 <Интегр-Навиг> 46,1824 -0,168608 0,0380587 -4,37275 4,08036 0 55,75910473074 37,72750939470 166,49464416504 0,694404 9,91768 1,34985
81,64450073242 566541 -1,62386 <_____> 1518,87 <Интегр-Навиг> 46,1849 0,0055261 -0,0112086 -4,29763 3,98668 0 55,75910082113 37,72751471563 166,47517395020 0,223072 9,49229 -0,724193
81,19342803955 566815 -1,62386 <_____> 1521,1 <Интегр-Навиг> 46,1933 0,0548346 -0,032233 -4,3592 4,05842 0 55,75909787245 37,72751958139 166,48880004883 -0,517291 10,0486 0,206008
80,74235534668 567085 -3,24775 <_____> 1521,9 <Интегр-Навиг> 46,1739 0,0828205 -0,0329975 -4,39064 4,08778 0 55,75909495559 37,72752439115 166,50207519531 -0,179868 9,4451 -1,12929
80,29127502441 567354 -1,62386 <_____> 1522,31 <Интегр-Навиг> 46,1711 0,0685753 -0,0426858 -4,40587 4,07655 0 55,75909195330 37,72752933379 166,51539611816 0,462349 9,84598 -0,72023
79,84020233154 567626 -1,62386 <_____> 1522,71 <Интегр-Навиг> 46,2179 0,0924175 -0,0330138 -4,35929 4,04854 0 55,75908911372 37,72753424265 166,49507141113 -0,289894 9,62097 -0,930124
79,38912963867 567897 -3,24775 Piket 1522,91 <Интегр-Навиг> 46,1979 0,042035 -0,028114 -4,39126 4,09478 0 55,75908620182 37,72753904348 166,50794982910 0,595328 9,60332 0,217471
78,93805694580 568166 -1,62386 <_____> 1522,91 <Интегр-Навиг> 46,1456 0,0714172 -0,00759451 -4,40725 4,10917 0 55,75908319872 37,72754400205 166,52122497559 1,0614 9,78894 1,04094
78,48698425293 568436 -1,62386 <_____> 1523,12 <Интегр-Навиг> 46,1064 0,0643819 -0,0139426 -4,39923 4,08924 0 55,75908027261 37,72754883305 166,53388977051 -0,601886 9,8848 -0,665282
78,03590393066 568705 -3,24772 <_____> 1523,12 <Интегр-Навиг> 46,0757 0,140235 0,0172143 -4,39738 4,10699 0 55,75907732112 37,72755435638 166,52194213867 0,846681 9,85347 0,486001
77,58483123779 568973 -1,62389 <_____> 1522,71 <Интегр-Навиг> 46,0235 0,112971 0,0422844 -4,40893 4,13415 0 55,75907438794 37,72755922315 166,53446960449 0,541827 10,0337 0,964555
77,13375854492 569241 -1,62389 <_____> 1521,9 <Интегр-Навиг> 46,0068 0,0945852 0,0643837 -4,40572 4,13129 0 55,75907145457 37,72756408586 166,54670715332 0,429855 9,5854 -1,15259
76,68267822266 569508 -3,24772 <_____> 1520,89 <Интегр-Навиг> 46,0147 0,083241 0,0778355 -4,4346 4,16215 0 55,75906850811 37,72756897033 166,52194213867 -0,114199 10,3046 -0,300147
76,23160552979 569774 -1,62389 <_____> 1520,69 <Интегр-Навиг> 46,0414 0,0944578 0,0612494 -4,48405 4,18479 0 55,75906578580 37,72757410072 166,53387451172 0,0547222 10,2874 0,991464
75,78053283691 570037 -1,62389 <_____> 1520,09 <Интегр-Навиг> 46,0449 0,125965 0,0731075 -4,4873 4,1997 0 55,75906288324 37,72757891864 166,54533386230 -0,523609 10,443 -0,322115
75,32946014404 570299 -3,24772 <_____> 1519,08 <Интегр-Навиг> 46,0789 0,126886 0,0975236 -4,49397 4,19967 0 55,75905989950 37,72758386780 166,55705261230 -0,979457 9,69455 -0,583977
74,87838745117 570564 -1,62386 <_____> 1518,87 <Интегр-Навиг> 46,1013 0,0992096 0,116325 -4,4649 4,17565 0 55,75905783610 37,72758984607 166,50698852539 0,213006 9,70904 -0,644513
74,42730712891 570828 -1,62386 <_____> 1517,66 <Интегр-Навиг> 46,1429 0,0972446 0,141745 -4,47889 4,1855 0 55,75905486085 37,72759477727 166,51777648926 -0,181414 9,22642 -0,371785
73,97623443604 571091 -3,24775 <_____> 1517,05 <Интегр-Навиг> 46,148 0,129098 0,167694 -4,5134 4,22103 0 55,75905194916 37,72759960442 166,52830505371 0,722698 9,75048 1,12488
73,52516174316 571351 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,1678 0,027941 0,216928 -4,52779 4,24217 0 55,75904900588 37,72760448692 166,53881835938 1,05408 10,309 -0,363835
73,07408142090 571609 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,1529 -0,00446018 0,223731 -4,56176 4,27963 0 55,75904648388 37,72760904053 166,46434020996 -0,635845 9,06348 -0,882095
72,62300872803 571863 -3,24775 <_____> 1517,05 <Интегр-Навиг> 46,1695 -0,025051 0,226247 -4,70957 4,39469 0 55,75904355207 37,72761390696 166,47402954102 1,04273 10,3677 0,559561
72,17193603516 572109 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,1787 -0,111393 0,217761 -4,79168 4,49919 0 55,75904062156 37,72761877199 166,48371887207 0,931339 10,3237 0,345954
71,72086334229 572355 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,2083 -0,158397 0,207529 -4,75827 4,44536 0 55,75903767241 37,72762366644 166,49356079102 0,0171617 9,87111 -0,114908
71,26979064941 572605 -3,24772 <_____> 1517,05 <Интегр-Навиг> 46,1922 -0,11712 0,17577 -4,69267 4,3941 0 55,75903440667 37,72762858801 166,41944885254 0,454255 10,6855 0,613187
70,81871032715 572854 -3,24772 <_____> 1517,05 <Интегр-Навиг> 46,2283 -0,121744 0,155861 -4,74884 4,43221 0 55,75903142187 37,72763353426 166,42860412598 -0,34866 10,308 0,435755
70,36763763428 573101 -3,24775 <_____> 1517,05 <Интегр-Навиг> 46,2267 -0,164235 0,145563 -4,76857 4,46519 0 55,75902848326 37,72763839995 166,43768310547 0,433178 9,62024 0,57851
69,91656494141 573350 -1,62386 <_____> 1517,05 <Интегр-Навиг> 46,2445 -0,185352 0,0893745 -4,67984 4,37229 0 55,75902557365 37,72764323364 166,44677734375 -0,941899 9,32831 -0,802499
69,46548461914 573605 -1,62386 Piket 1517,05 <Интегр-Навиг> 46,2318 -0,144669 0,0384778 -4,61123 4,33079 0 55,75902330969 37,72764831782 166,34437561035 1,04914 10,4078 1,06722
69,01441192627 573860 -3,24775 <_____> 1517,05 <Интегр-Навиг> 46,2094 -0,0907718 -0,0321853 -4,61765 4,32518 0 55,75902031834 37,72765328962 166,35209655762 -0,456167 9,60833 0,140444
68,56333923340 574116 -1,62386 <_____> 1517,66 <Интегр-Навиг> 46,1845 -0,00256654 -0,112593 -4,5801 4,2995 0 55,75901740656 37,72765813206 166,35922241211 -0,354822 9,52758 -0,587026
68,11226654053 574377 -1,62386 <_____> 1518,67 <Интегр-Навиг> 46,1895 -0,0312411 -0,153625 -4,46901 4,18237 0 55,75901446803 37,72766301266 166,36647033691 -0,695218 9,94945 -0,962154
67,66119384766 574642 -3,24772 <_____> 1518,67 <Интегр-Навиг> 46,2106 0,042604 -0,167289 -4,46721 4,18432 0 55,75901183117 37,72766728009 166,29858398438 -0,556779 9,98238 -0,399014
67,21011352539 574905 -1,62386 <_____> 1518,87 <Интегр-Навиг> 46,1724 0,0137721 -0,153634 -4,45041 4,17694 0 55,75900886181 37,72767221308 166,30503845215 -0,526146 10,0089 -0,368709
66,75904083252 575169 -1,62386 <_____> 1519,08 <Интегр-Навиг> 46,1053 0,063984 -0,102535 -4,48494 4,18347 0 55,75900596739 37,72767702365 166,31172180176 -0,311923 9,93899 -0,754448
66,30796813965 575432 -3,24775 <_____> 1519,08 <Интегр-Навиг> 46,0534 0,0260677 -0,0396652 -4,4746 4,20905 0 55,75900305695 37,72768186459 166,31814575195 0,126879 9,97266 0,515885
65,85688781738 575696 -1,62386 <_____> 1519,08 <Интегр-Навиг> 46,023 0,135113 0,0166233 -4,46998 4,21218 0 55,75900047288 37,72768775467 166,24855041504 0,517976 9,72035 1,19372
65,40581512451 575959 -1,62386 <_____> 1519,08 <Интегр-Навиг> 46,0014 0,0710893 0,0504991 -4,45165 4,20094 0 55,75899749287 37,72769273471 166,25369262695 -0,369537 9,94217 0,0383907
64,95474243164 576222 -3,24775 <_____> 1518,87 <Интегр-Навиг> 46,0119 -0,000392189 0,0442375 -4,45859 4,20628 0 55,75899460444 37,72769756771 166,25917053223 -0,441195 9,77298 -0,87448
64,50366973877 576486 -1,62386 <_____> 1518,67 <Интегр-Навиг> 45,9716 -0,141447 0,0182485 -4,42704 4,16708 0 55,75899164476 37,72770252606 166,18370056152 -0,40337 9,59486 -1,30045
64,05259704590 576752 -1,62386 <_____> 1518,27 <Интегр-Навиг> 45,9623 -0,0101574 -0,0132147 -4,41951 4,19352 0 55,75898836710 37,72770814892 166,18836975098 -0,200441 10,1676 0,468914
63,60151672363 577017 -3,24772 <_____> 1517,26 <Интегр-Навиг> 45,9509 0,0623022 -0,0541947 -4,46301 4,21308 0 55,75898548348 37,72771297907 166,19242858887 -0,7736 10,0202 -1,04275
63,15044403076 577279 -1,62389 <_____> 1517,05 <Интегр-Навиг> 45,9898 0,0917815 -0,0716505 -4,50366 4,24394 0 55,75898249174 37,72771799276 166,19602966309 -0,494407 9,64672 -0,960766
62,69937133789 577542 -1,62389 <_____> 1517,05 <Интегр-Навиг> 46,0396 0,0443527 -0,0794073 -4,38606 4,1476 0 55,75897967931 37,72772377981 166,09150695801 0,702899 9,42329 0,712878
62,24829483032 577812 -3,24772 <_____> 1516,85 <Интегр-Навиг> 46,1135 0,239175 -0,0514319 -4,41494 4,14423 0 55,75897668273 37,72772877754 166,09291076660 0,870574 9,28244 0,57566
61,79721832275 578079 -1,62388 <_____> 1516,85 <Интегр-Навиг> 46,1304 0,238194 -0,0889348 -4,40886 4,16505 0 55,75897377388 37,72773363717 166,09516906738 -0,590784 9,45869 -0,74061
61,34614562988 578342 -1,62388 <_____> 1516,85 <Интегр-Навиг> 46,0832 -0,0589288 -0,053613 -4,41161 4,20455 0 55,75897088178 37,72773847145 166,09700012207 2,70477 10,7718 0,0649439
60,89507293701 578609 -3,24774 <_____> 1516,85 <Интегр-Навиг> 45,9796 -0,115109 -0,059331 -4,37293 4,09026 0 55,75896781606 37,72774530053 165,98757934570 -0,966325 9,15507 -1,14621
60,44399642944 578878 -1,62386 <_____> 1516,45 <Интегр-Навиг> 45,9395 -0,180484 -0,0248719 -4,3487 4,11613 0 55,75896484415 37,72775028547 165,98945617676 0,431355 9,7478 -0,118938
59,99291992188 579147 -1,62386 <_____> 1516,25 <Интегр-Навиг> 45,9327 -0,111365 0,0135165 -4,36468 4,13401 0 55,75896194415 37,72775515685 165,99128723145 -0,556399 9,83528 0,600267
59,54184722900 579416 -3,24775 <_____> 1516,25 <Интегр-Навиг> 45,9365 -0,0609353 0,0482491 -4,32425 4,08463 0 55,75895904311 37,72776002597 165,99290466309 0,407424 9,50207 -0,97
59,09077453613 579689 -1,62386 Piket 1516,25 <Интегр-Навиг> 45,992 0,0116946 0,0799656 -4,30805 4,05294 0 55,75895652839 37,72776576568 165,89173889160 -0,763387 9,87017 -0,921386
58,63969802856 579961 -1,62386 <_____> 1516,04 <Интегр-Навиг> 46,0715 0,0161166 0,084138 -4,3465 4,12189 0 55,75895358861 37,72777069255 165,89175415039 -0,997965 9,51156 0,987858
58,18862152100 580228 -3,24774 <_____> 1515,84 <Интегр-Навиг> 46,1314 -0,0148626 0,0893412 -4,39702 4,15162 0 55,75895066741 37,72777558057 165,89204406738 0,623788 9,60189 -0,244352
57,73754882813 580498 -1,62388 <_____> 1515,44 <Интегр-Навиг> 46,1858 -0,0758211 0,0639076 -4,30928 4,06516 0 55,75894769632 37,72778054482 165,82392883301 0,450715 9,85475 0,820406
57,28647613525 580770 -1,62388 <_____> 1515,03 <Интегр-Навиг> 46,1949 -0,132819 0,0345678 -4,28697 4,06214 0 55,75894495642 37,72778731804 165,82322692871 0,220149 9,78792 0,859653
56,83539962769 581044 -3,24772 <_____> 1514,02 <Интегр-Навиг> 46,1601 -0,122506 0,0242192 -4,29764 4,04915 0 55,75894202492 37,72779222458 165,82269287109 -0,109229 9,29525 0,0217389
56,38432312012 581318 -1,62388 <_____> 1513,42 <Интегр-Навиг> 46,1034 -0,0293296 0,0105987 -4,2674 4,03377 0 55,75893903831 37,72779722113 165,82208251953 0,191784 10,3234 1,40002
55,93325042725 581592 -1,62388 <_____> 1513,01 <Интегр-Навиг> 46,1023 -0,0217589 0,000211727 -4,32398 4,0777 0 55,75893653697 37,72780199397 165,77667236328 0,705249 9,40268 -0,31275
55,48217773438 581862 -3,24774 <_____> 1512,41 <Интегр-Навиг> 46,1562 -0,102087 -0,0110777 -4,3179 4,07658 0 55,75893365787 37,72780681699 165,77586364746 0,213856 9,90118 0,690321
55,03110122681 582135 -1,62386 <_____> 1510,79 <Интегр-Навиг> 46,1753 -0,176763 -0,00161486 -4,29395 4,06416 0 55,75893072060 37,72781173358 165,77525329590 0,304126 9,04857 0,0505466
54,58002471924 582407 -1,62386 <_____> 1510,59 <Интегр-Навиг> 46,1338 -0,19875 -0,0257111 -4,29029 4,05483 0 55,75892779128 37,72781664324 165,77452087402 -0,153157 9,3998 -1,09779
54,12895202637 582680 -3,24775 <_____> 1510,59 <Интегр-Навиг> 46,0922 -0,236004 -0,0338476 -4,27952 4,02883 0 55,75892524909 37,72782291748 165,75941467285 -0,813823 9,7385 -0,520089
53,67787933350 582956 -1,62386 <_____> 1511,2 <Интегр-Навиг> 46,1076 -0,220099 -0,0564539 -4,2246 3,98272 0 55,75892235617 37,72782777063 165,75881958008 0,539609 9,7428 0,125269
53,22680282593 583234 -1,62386 <_____> 1512,21 <Интегр-Навиг> 46,1602 -0,278113 -0,0887607 -4,18002 3,95406 0 55,75891941409 37,72783270762 165,75817871094 0,362887 10,1466 -0,5096
52,77572631836 583519 -3,24774 <_____> 1512,61 <Интегр-Навиг> 46,1712 -0,257508 -0,114796 -4,04252 3,81218 0 55,75891636591 37,72783764726 165,72784423828 0,0903667 9,50628 -0,698737
52,32465362549 583810 -1,62388 <_____> 1513,62 <Интегр-Навиг> 46,1293 -0,246274 -0,142611 -4,04776 3,82214 0 55,75891348344 37,72784247952 165,72702026367 0,202217 10,064 1,32474
51,87358093262 584097 -1,62386 <_____> 1514,23 <Интегр-Навиг> 46,0702 -0,238061 -0,148171 -4,07412 3,84953 0 55,75891056814 37,72784737051 165,72644042969 0,0617492 9,70085 -0,885656
