Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-0,90214920044 2165 0 Strelka 1513,82 <Интегр-Навиг> 45,81 -0,682271 -0,359416 0,155878 -0,128967 0 55,75860173894 37,72839401097 172,03855895996 -0,0285772 9,86595 -0,0407451
31,12414741516 43315 1,62387 <_____> 1491,19 <Интегр-Навиг> 45,8992 -0,183366 0,165074 3,71878 -3,48979 0 55,75880458410 37,72805098252 167,62728881836 0,11171 9,50663 -0,0958678
31,57522201538 43640 1,62387 <_____> 1491,19 <Интегр-Навиг> 45,8818 -0,155628 0,173862 3,65449 -3,43792 0 55,75880714519 37,72804678233 167,58934020996 -0,0247788 9,95871 0,888254
32,02629852295 43966 1,62387 <_____> 1491,19 <Интегр-Навиг> 45,9315 -0,117476 0,183009 3,69446 -3,48041 0 55,75881007443 37,72804190993 167,55715942383 0,365629 9,77637 0,405456
32,47737121582 44292 3,24774 <_____> 1491,19 <Интегр-Навиг> 45,8936 -0,124633 0,189931 3,63816 -3,43163 0 55,75881307740 37,72803690010 167,52444458008 0,41533 10,0713 0,89167
32,92844390869 44624 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,8755 -0,147186 0,20222 3,61029 -3,38129 0 55,75881497893 37,72803280751 167,47889709473 -0,532506 9,37915 -0,706844
33,37952041626 44953 1,62386 <_____> 1491,19 <Интегр-Навиг> 45,8912 -0,0904468 0,198542 3,64459 -3,43796 0 55,75881801053 37,72802776083 167,44540405273 -0,458083 9,62746 0,136331
33,83059692383 45284 1,62388 <_____> 1490,99 <Интегр-Навиг> 45,8615 -0,0551775 0,206808 3,56813 -3,3724 0 55,75882095810 37,72802284270 167,41249084473 0,162825 9,77432 0,244202
34,28166961670 45617 1,62388 <_____> 1490,99 <Интегр-Навиг> 45,9136 -0,162359 0,203894 3,65956 -3,43051 0 55,75882295314 37,72801897744 167,36718750000 0,424721 10,4617 0,807698
34,73274230957 45941 3,24774 <_____> 1490,99 <Интегр-Навиг> 45,9179 -0,177769 0,206903 3,68333 -3,46272 0 55,75882595782 37,72801397382 167,33364868164 -0,334771 9,67118 -0,112782
35,18381881714 46269 1,62386 <_____> 1490,99 <Интегр-Навиг> 45,932 -0,279688 0,217335 3,66039 -3,42098 0 55,75882893282 37,72800902388 167,29972839355 -0,0837373 9,17653 -0,131748
