Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-1303,15454101563 51907 -3,248 <_____> 1493,21 <Интегр-Навиг> 45,7777 -0,1407 0,211145 3,96792 -3,82022 0 55,75876886390 37,72810784561 160,06285095215 -0,212623 9,72912 -0,476826
-1303,60559082031 52199 -1,62378 <_____> 1493,42 <Интегр-Навиг> 45,7649 -0,143662 0,209471 3,96655 -3,81732 0 55,75877176470 37,72810290040 160,02619934082 -0,265239 9,56374 -1,35765
-1304,05664062500 52487 -1,62378 <_____> 1493,62 <Интегр-Навиг> 45,76 -0,0637514 0,208508 4,0473 -3,89163 0 55,75877463807 37,72809800727 160,01733398438 0,471964 9,90962 0,978961
-1304,50769042969 52776 -3,24756 <_____> 1493,62 <Интегр-Навиг> 45,7938 -0,301598 0,231562 3,96165 -3,81023 0 55,75877742682 37,72809213466 159,98126220703 -0,493523 10,0427 -1,10141
-1304,95886230469 53067 -1,62378 <_____> 1493,62 <Интегр-Навиг> 45,7973 -0,137872 0,257914 3,9949 -3,81013 0 55,75878035447 37,72808715332 159,94393920898 -0,126592 9,95256 -0,581045
-1305,40991210938 53362 -1,62422 <_____> 1493,62 <Интегр-Навиг> 45,8775 -0,34851 0,302456 3,96048 -3,78627 0 55,75878323077 37,72808227151 159,90625000000 0,515526 9,85776 1,13343
-1305,86096191406 53654 -1,62422 <_____> 1493,21 <Интегр-Навиг> 45,8431 -0,217083 0,299585 3,94021 -3,84632 0 55,75878592392 37,72807707625 159,90396118164 -0,402281 10,831 1,33913
-1306,31201171875 53947 -3,24756 <_____> 1493,21 <Интегр-Навиг> 45,7111 -0,304234 0,349367 3,96021 -3,84171 0 55,75878881012 37,72807213606 159,86746215820 0,219585 9,8392 -0,84992
-1306,76306152344 54244 -1,62378 <_____> 1493,42 <Интегр-Навиг> 45,6469 -0,11834 0,36461 3,8191 -3,67836 0 55,75879166617 37,72806725067 159,83067321777 0,104879 9,25956 1,68193
-1307,21423339844 54567 -1,62378 <_____> 1493,62 <Интегр-Навиг> 45,6157 0,306324 0,335089 3,22744 -3,08726 0 55,75879479225 37,72806256617 159,87121582031 -0,253772 10,4075 0,0191417
-1307,66528320313 54949 -1,62422 <_____> 1493,62 <Интегр-Навиг> 45,6891 -0,0673404 0,348992 2,9411 -2,81207 0 55,75879766429 37,72805769072 159,82641601563 0,322218 9,20239 1,55436
-1308,11633300781 55357 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,652 0,205869 0,345484 2,66202 -2,55406 0 55,75880053827 37,72805282599 159,77854919434 -1,15502 8,3076 0,290154
-1308,56738281250 55886 -1,62378 <_____> 1492,41 <Интегр-Навиг> 45,7043 0,0761029 0,336908 1,71893 -1,61021 0 55,75880358454 37,72804829396 159,83288574219 0,987867 9,95131 0,960465
-1309,01843261719 57416 0 <_____> 1493,21 <Интегр-Навиг> 45,7039 -0,0941144 0,337169 0,122408 -0,087076 0 55,75880687367 37,72804300733 159,82664489746 -0,0142828 9,85741 -0,0231485
-1309,46960449219 74310 0 <_____> 1493,42 <Интегр-Навиг> 45,7348 -0,176049 0,323773 1,21709 -1,05345 0 55,75881555627 37,72803316864 158,40953063965 0,390555 10,1562 -0,746528
-1309,92065429688 75056 0 <_____> 1493,62 <Интегр-Навиг> 45,7518 -0,182341 0,315903 2,01071 -1,82587 0 55,75881846325 37,72802874390 158,26766967773 0,0341854 9,5497 -0,629511
-1310,37170410156 75622 -1,62378 <_____> 1492,81 <Интегр-Навиг> 45,7895 -0,231323 0,302844 2,2738 -2,09692 0 55,75882118277 37,72802431314 158,15551757813 -0,793498 8,43452 -0,0115724
-1310,82275390625 76105 -1,62378 <_____> 1491,6 <Интегр-Навиг> 45,8042 -0,224316 0,312047 2,65241 -2,39764 0 55,75882421666 37,72801942028 158,09707641602 0,927918 11,0192 -2,2057
-1311,27380371094 76546 0 <_____> 1492,41 <Интегр-Навиг> 45,8136 -0,149049 0,307824 2,75762 -2,53483 0 55,75882722384 37,72801511876 158,00663757324 -0,739521 8,90564 1,82013
-1311,72497558594 76970 -1,62378 <_____> 1493,42 <Интегр-Навиг> 45,8414 -0,195349 0,291344 2,97816 -2,73406 0 55,75883024496 37,72801022500 157,95419311523 0,0576454 10,3204 -0,27292
-1312,17602539063 77360 -1,62422 <_____> 1493,62 <Интегр-Навиг> 45,8402 -0,187522 0,287288 3,20441 -2,92357 0 55,75883322007 37,72800539132 157,90660095215 0,629053 9,55134 0,557866
-1312,62707519531 77732 -1,62378 <_____> 1493,42 <Интегр-Навиг> 45,816 -0,228354 0,258737 3,22683 -2,91885 0 55,75883633918 37,72800077905 157,84173583984 -1,74499 8,45281 1,44273
-1313,07812500000 78104 -1,62378 <_____> 1493,42 <Интегр-Навиг> 45,8806 -0,0480814 0,257474 3,22298 -2,90921 0 55,75883930789 37,72799598149 157,79640197754 0,402275 9,82047 0,553651
-1313,52929687500 78477 -3,24756 <_____> 1493,82 <Интегр-Навиг> 45,8579 0,0922095 0,249982 3,14406 -2,99782 0 55,75884230384 37,72799113803 157,75009155273 -1,66476 5,31298 -0,751953
-1313,98034667969 78848 -1,62422 <_____> 1494,22 <Интегр-Навиг> 45,9057 0,0992981 0,202162 3,3319 -3,02825 0 55,75884517683 37,72798615536 157,70437622070 0,645477 10,2249 0,17843
-1314,43139648438 79204 -1,62378 <_____> 1494,22 <Интегр-Навиг> 45,8768 0,0855149 0,170897 3,45363 -3,14234 0 55,75884814718 37,72798133513 157,66099548340 0,314638 9,49385 -0,145867
-1314,88244628906 79555 -1,62378 <_____> 1493,82 <Интегр-Навиг> 45,8735 0,0468739 0,145263 3,47223 -3,16619 0 55,75885151024 37,72797748250 157,63418579102 0,150699 9,78999 -0,112918
-1315,33349609375 79902 -1,62378 <_____> 1493,62 <Интегр-Навиг> 45,8693 0,0567134 0,0797738 3,472 -3,20334 0 55,75885452016 37,72797260119 157,59201049805 -0,279457 9,51526 0,111555
-1315,78466796875 80251 -1,62378 <_____> 1493,21 <Интегр-Навиг> 45,8175 0,060377 0,130263 3,4132 -3,11602 0 55,75885756455 37,72796765239 157,54899597168 0,722169 9,93184 0,383643
-1316,23571777344 80564 -1,62422 <_____> 1493,21 <Интегр-Навиг> 45,8603 0,192795 0,123843 3,42208 -3,13855 0 55,75886017131 37,72796358575 157,54281616211 -0,49592 9,35147 -0,467914
-1316,68676757813 80915 -1,62378 <_____> 1494,22 <Интегр-Навиг> 45,9289 -0,00542904 0,131152 3,42218 -3,13234 0 55,75886314187 37,72795877681 157,50109863281 0,173945 9,57715 0,407677
