Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
36,53704071045 349166 1,62386 <_____> 1510,59 <Интегр-Навиг> 46,0765 -0,300926 0,261719 4,84569 -4,20639 0 55,75900496348 37,72793360911 172,32801818848 0,30901 9,98211 0,808357
36,98811721802 349459 1,62386 <_____> 1510,59 <Интегр-Навиг> 46,1297 -0,377404 0,308659 4,76909 -4,13109 0 55,75900848977 37,72792818136 172,32801818848 0,0833431 9,78614 1,1909
37,43919372559 349755 3,24774 <_____> 1510,59 <Интегр-Навиг> 46,0252 -0,353151 0,331932 4,74343 -4,14497 0 55,75901197362 37,72792280933 172,32801818848 -0,715386 8,81193 0,373289
37,89026641846 350049 1,62388 <_____> 1510,39 <Интегр-Навиг> 45,9253 -0,331899 0,362179 4,79971 -4,18886 0 55,75901546480 37,72791739630 172,32801818848 0,192362 9,45479 1,13423
38,34133911133 350336 1,62386 <_____> 1509,98 <Интегр-Навиг> 45,9025 -0,0651534 0,404459 4,91419 -4,27169 0 55,75901893121 37,72791201562 172,32801818848 2,09122 12,3141 -2,26545
38,79241561890 350624 1,62386 <_____> 1509,78 <Интегр-Навиг> 45,9021 -0,223616 0,361044 4,86712 -4,23637 0 55,75902248584 37,72790651453 172,32801818848 0,840754 9,91342 -0,446812
39,24349212646 350912 3,24774 <_____> 1509,58 <Интегр-Навиг> 45,9187 -0,115136 0,343628 4,88788 -4,25585 0 55,75902596938 37,72790112924 172,32801818848 0,0667884 10,23 -0,722959
39,69456481934 351196 1,62388 <_____> 1509,58 <Интегр-Навиг> 45,9776 -0,222755 0,33942 4,92698 -4,30327 0 55,75902939764 37,72789583406 172,32801818848 -0,497713 9,4211 -1,12731
40,14563751221 351483 1,62388 Piket 1509,38 <Интегр-Навиг> 46,0052 -0,195373 0,335192 4,90113 -4,27995 0 55,75903291489 37,72789040294 172,32801818848 -0,720121 9,62003 -1,01926
40,59671401978 351768 3,24772 <_____> 1509,18 <Интегр-Навиг> 46,0201 -0,233511 0,32792 4,90991 -4,272 0 55,75903641198 37,72788500398 172,32801818848 0,45956 10,0379 1,07942
41,04779052734 352055 1,62388 <_____> 1509,18 <Интегр-Навиг> 46,0079 -0,140124 0,33054 4,9175 -4,28083 0 55,75903992776 37,72787957452 172,32801818848 0,142615 9,66158 0,620501
41,49886322021 352337 1,62388 <_____> 1508,77 <Интегр-Навиг> 46,0186 -0,0669238 0,316629 4,98604 -4,33285 0 55,75904338500 37,72787423724 172,32801818848 -0,0708038 9,78474 0,282542
41,94993591309 352617 1,62388 <_____> 1508,77 <Интегр-Навиг> 46,0606 -0,151302 0,318126 5,00353 -4,37556 0 55,75904688505 37,72786884401 172,32801818848 0,22042 9,96905 1,1816
42,40101242065 352894 3,24772 <_____> 1508,77 <Интегр-Навиг> 46,0371 -0,0548156 0,320703 5,05131 -4,37126 0 55,75905041216 37,72786340605 172,32801818848 0,558344 9,79794 1,68366
42,85208892822 353173 1,62388 <_____> 1508,37 <Интегр-Навиг> 46,038 -0,113526 0,302066 5,00962 -4,33667 0 55,75905392332 37,72785799768 172,32801818848 0,772454 9,61748 0,598073
43,30316162109 353450 1,62388 <_____> 1508,17 <Интегр-Навиг> 46,0402 -0,0416576 0,302578 5,04107 -4,37962 0 55,75905735521 37,72785271326 172,32801818848 0,0743533 9,51738 1,65133
43,75423431396 353728 3,24774 <_____> 1508,17 <Интегр-Навиг> 46,0456 -0,118124 0,290705 5,0587 -4,38875 0 55,75906088308 37,72784727607 172,32801818848 0,184378 9,87035 1,44299
44,20531082153 354004 1,62386 <_____> 1508,17 <Интегр-Навиг> 46,0099 0,174297 0,215097 4,94063 -4,36856 0 55,75906433352 37,72784195665 172,32801818848 -0,930987 12,5331 -2,32208
44,65638732910 354293 1,62386 <_____> 1508,17 <Интегр-Навиг> 46,0208 -0,0424841 0,255354 4,86685 -4,21116 0 55,75906792185 37,72783644469 172,32801818848 -0,0942333 10,1324 -0,749378
45,10746002197 354582 3,24775 <_____> 1508,17 <Интегр-Навиг> 46,0436 0,039148 0,115244 4,72318 -4,2475 0 55,75907139822 37,72783111410 172,32801818848 1,65149 10,2327 1,50895
45,55853271484 354875 1,62386 <_____> 1508,17 <Интегр-Навиг> 46,0223 0,160991 0,190414 4,86981 -4,20738 0 55,75907496135 37,72782565422 172,32801818848 0,17142 9,76218 1,10126
46,00960922241 355163 1,62386 <_____> 1508,37 <Интегр-Навиг> 46,0391 0,0625458 0,161317 4,93483 -4,26438 0 55,75907846948 37,72782029289 172,32801818848 -0,736298 9,14548 -1,47706
46,46068572998 355448 1,62386 <_____> 1508,57 <Интегр-Навиг> 46,0313 0,0460879 0,129168 4,93518 -4,26865 0 55,75908200923 37,72781486990 172,32801818848 -0,232628 9,90975 -0,12765
46,91175842285 355737 3,24775 <_____> 1508,77 <Интегр-Навиг> 46,0321 0,066893 0,16607 4,90742 -4,22519 0 55,75908552126 37,72780949138 172,32801818848 0,61584 8,83207 1,01692
