Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
-670,69781494141 99744 1,624 <_____> 1519,08 <Интегр-Навиг> 46,0506 0,0156131 0,315201 3,1958 -3,54884 0 55,75876741336 37,72804094692 163,96293640137 -0,697353 9,19399 0,873933
-670,24676513672 100094 1,62378 <_____> 1519,08 <Интегр-Навиг> 46,0868 0,00297222 0,352762 3,14593 -3,54258 0 55,75877019670 37,72803542035 163,96783447266 -0,116928 9,45202 0,543336
-669,79565429688 100439 1,62378 <_____> 1519,08 <Интегр-Навиг> 46,163 -0,0290434 0,391562 3,31724 -3,6747 0 55,75877297580 37,72802992603 163,97213745117 0,0951651 9,86095 -0,965555
-669,34460449219 100772 3,24778 <_____> 1519,08 <Интегр-Навиг> 46,2108 -0,0336429 0,421172 3,2468 -3,62229 0 55,75877628794 37,72802571203 164,07435607910 0,86865 10,0697 0,684792
-668,89349365234 101118 1,62378 <_____> 1519,08 <Интегр-Навиг> 46,1462 -0,0517649 0,440782 3,25305 -3,63939 0 55,75877902346 37,72802029547 164,08044433594 -0,249132 9,52799 -1,15068
-668,44244384766 101454 1,624 <_____> 1517,66 <Интегр-Навиг> 45,9392 -0,00168141 0,470258 3,30591 -3,69897 0 55,75878182275 37,72801475326 164,08668518066 0,320216 10,4998 -0,656954
-667,99133300781 101791 1,62378 <_____> 1517,05 <Интегр-Навиг> 45,7826 0,0637299 0,448508 3,30578 -3,71417 0 55,75878512532 37,72801080610 164,17886352539 0,671978 9,49426 1,28271
-667,54028320313 102122 1,624 <_____> 1517,05 <Интегр-Навиг> 45,8698 0,151331 0,422106 3,29636 -3,66796 0 55,75878791723 37,72800529530 164,18730163574 -0,364773 9,59801 1,039
-667,08923339844 102472 1,62378 <_____> 1517,05 <Интегр-Навиг> 45,9804 0,150007 0,429218 3,04152 -3,41616 0 55,75879070221 37,72799976143 164,19624328613 -0,0566684 9,1035 1,2811
-666,63812255859 102838 1,62378 <_____> 1517,05 <Интегр-Навиг> 46,0169 0,113223 0,420759 3,08047 -3,43767 0 55,75879340250 37,72799503809 164,26800537109 0,704866 9,69357 1,0784
-666,18707275391 103202 3,24778 Piket 1516,85 <Интегр-Навиг> 45,9806 0,281475 0,420028 2,99432 -3,3307 0 55,75879618311 37,72798949448 164,27894592285 0,951496 9,4502 1,25299
-665,73596191406 103579 1,62378 <_____> 1516,45 <Интегр-Навиг> 45,9991 0,219205 0,404408 2,92371 -3,31533 0 55,75879895536 37,72798393064 164,28994750977 -0,168266 8,88607 1,70573
-665,28491210938 103959 1,624 <_____> 1516,04 <Интегр-Навиг> 45,9685 0,111777 0,384404 2,8371 -3,23238 0 55,75880176349 37,72797943565 164,35107421875 -0,43278 10,4373 -0,539558
-664,83386230469 104350 1,62378 <_____> 1515,64 <Интегр-Навиг> 45,9807 0,154646 0,414177 2,81353 -3,18711 0 55,75880447607 37,72797397085 164,36387634277 0,344011 9,4063 1,29109
-664,38275146484 104734 1,62378 <_____> 1515,64 <Интегр-Навиг> 46,0144 0,236067 0,410843 2,91059 -3,28382 0 55,75880818297 37,72796896631 164,42567443848 0,256223 9,02768 1,59997
-663,93170166016 105121 1,624 <_____> 1515,03 <Интегр-Навиг> 46,0503 0,10182 0,409031 2,80902 -3,17744 0 55,75881093253 37,72796345751 164,43933105469 -0,050301 10,1161 -1,42582
-663,48059082031 105506 1,62378 <_____> 1514,63 <Интегр-Навиг> 46,0591 0,100603 0,38614 3,03698 -3,3825 0 55,75881370728 37,72795789828 164,45248413086 0,205719 10,5153 -1,28854
-663,02954101563 105865 1,624 <_____> 1514,63 <Интегр-Навиг> 46,0149 0,249705 0,373955 3,09456 -3,46576 0 55,75881709917 37,72795309143 164,50567626953 -0,399964 9,86248 -0,707053
-662,57849121094 106229 1,62378 <_____> 1514,63 <Интегр-Навиг> 45,9798 0,268354 0,39062 3,06604 -3,48925 0 55,75881989249 37,72794755040 164,51956176758 -0,0630503 6,53918 -0,46991
-662,12738037109 106583 1,62378 <_____> 1514,63 <Интегр-Навиг> 45,9787 0,201746 0,361579 3,17768 -3,52497 0 55,75882265781 37,72794208340 164,53308105469 0,494511 9,76403 0,519154
-661,67633056641 106931 1,624 <_____> 1514,63 <Интегр-Навиг> 45,9665 0,344484 0,321388 3,25445 -3,61174 0 55,75882626844 37,72793762509 164,57772827148 -0,248157 9,16987 -0,243115
-661,22521972656 107268 1,62378 <_____> 1515,44 <Интегр-Навиг> 45,9802 0,366986 0,292872 3,39684 -3,77111 0 55,75882907097 37,72793213201 164,59149169922 -0,162229 9,85627 -1,41295
-660,77416992188 107596 1,62378 <_____> 1515,84 <Интегр-Навиг> 46,0118 0,31594 0,251477 3,39317 -3,67175 0 55,75883185374 37,72792670470 164,60475158691 0,935952 9,90836 -0,363091
-660,32312011719 107932 3,24778 <_____> 1516,04 <Интегр-Навиг> 46,05 0,284003 0,233983 3,29004 -3,60613 0 55,75883505120 37,72792284836 164,65184020996 0,214608 10,0148 -0,540939
-659,87200927734 108269 1,62378 <_____> 1516,25 <Интегр-Навиг> 46,0884 0,276838 0,255322 3,30236 -3,70907 0 55,75883787250 37,72791733654 164,66665649414 0,776967 11,292 1,17305
-659,42095947266 108608 1,624 <_____> 1516,25 <Интегр-Навиг> 46,0552 0,298923 0,218478 3,28119 -3,62103 0 55,75884065767 37,72791188090 164,68133544922 0,130364 9,7439 -0,860246
-658,96984863281 108948 1,62378 <_____> 1516,25 <Интегр-Навиг> 46,0363 0,308599 0,196454 3,30153 -3,65764 0 55,75884352161 37,72790817554 164,74353027344 -1,06818 9,39276 0,473215
