Путь Курс Крен Тангаж
16.5 151.55198895032552 0.4725034359622 -0.0006231370649292245
16.7 151.54701147642848 0.4929828772715057 -0.04261008856113957
16.9 151.56699999999998 0.516306848377436 -0.09450569315826618
17.1 151.5692884334142 0.5433408699476843 -0.12497877740051822
17.3 151.54839741363668 0.5711936630882435 -0.14495465891650072
17.5 151.56960188753996 0.5799784914445736 -0.17305627333260043
17.7 151.58735527759066 0.6059908090827959 -0.21209229907870908
17.9 151.59066004286592 0.6162153364972516 -0.2377546671156976
18.1 151.6086015291234 0.600713366679798 -0.29215040113159585
18.3 151.63799094412948 0.5896846125804018 -0.3618782095238431
18.5 151.64448450163917 0.5831344873020858 -0.407285639892109
18.7 151.63043663412654 0.580602443379346 -0.43087361135835645
18.9 151.66003773459235 0.5596432624797809 -0.47633139624281107
19.1 151.64532355531395 0.5467516657877649 -0.4935089796730634
19.3 151.64455260257037 0.5182673905080297 -0.5172333249849181
19.5 151.65200792478637 0.4981251600442609 -0.544126435035265
19.7 151.658785933502 0.46069819769915377 -0.5768691964185857
19.9 151.6421515255223 0.42518943807542087 -0.615662059013995
20.1 151.65501013643137 0.3841095367233134 -0.6526481393719887
20.3 151.65316459961693 0.33796690180466626 -0.6692381538291153
20.5 151.65033173336838 0.30075048084516 -0.6816952725854446
20.7 151.6463348438464 0.27685020621443357 -0.6628398725958173
20.9 151.65455197262384 0.23534913994389894 -0.6455720577900257
21.1 151.63749948488837 0.20233440884033893 -0.5974791054218338
21.3 151.62566656820675 0.17235990116386368 -0.5613244798964017
21.5 151.63400457476365 0.11657201700585262 -0.5457875574366642
21.7 151.61967650300537 0.10620959613839176 -0.5266464734690586
21.9 151.60001017974872 0.08709377736866908 -0.5020141081224585
22.1 151.5743506429876 0.058150586761575696 -0.4712167238223568
22.3 151.55862777277383 0.01728310899427976 -0.46010108401731475
22.5 151.52736362735752 0.01587417056789997 -0.4144753984514429
22.7 151.52678735636346 0.012775518922398588 -0.3843359642555475
22.9 151.51801217715575 -0.014577819894030508 -0.37313045824159463
23.1 151.5025226306695 -0.036894665605133437 -0.37167769867791467
23.3 151.47837327906205 -0.04728316907664154 -0.3716532478999516
23.5 151.45992548066172 -0.06571907486124173 -0.37930639715419084
23.7 151.45098015201398 -0.07678919695318132 -0.3933315794675597
23.9 151.4614615683886 -0.09117195683048074 -0.4002758456611306
24.1 151.45583518245067 -0.10633039221927718 -0.3824839907600337
24.3 151.42749264892555 -0.10305676832112298 -0.3485896558686097
24.5 151.43032548359363 -0.10562789986807042 -0.33037484308093124
24.7 151.43287779978965 -0.13225325912810648 -0.29955729732747827
24.9 151.43396486437808 -0.11471029898777196 -0.27453977682180475
25.1 151.44882408234625 -0.11420484416270815 -0.2750098809480806
25.3 151.45120928092234 -0.13680122671323236 -0.2720911002386066
25.5 151.45448981484878 -0.13430686308152806 -0.2695707777456942
25.7 151.45876352289633 -0.10397993389670424 -0.26749245543693534
25.9 151.47916277511268 -0.11503290459269352 -0.25711061561209947
26.1 151.48097677317327 -0.08682552224786377 -0.24928672356187387
26.3 151.47645249811012 -0.09110669241236907 -0.25072851154496767
26.5 151.50623295270418 -0.10021918063839663 -0.2607517536473076
26.7 151.51262317979152 -0.10235008076081797 -0.2733871980388072
26.9 151.52427929829284 -0.09839678050745249 -0.29917921098234057
27.1 151.56818856849716 -0.10714461833730571 -0.3196280889968577
