Номер Координата    X   Y   H
2059,000 1491,507117 1008,195945 999,18936
2060,000 1492,90981 1008,16717 999,186455
2061,000 1494,312503 1008,138395 999,18355
2062,000 1495,715196 1008,109621 999,180644
2063,000 1497,117889 1008,080846 999,177739
2064,000 1498,520582 1008,052071 999,174834
2065,000 1499,924081 1008,02176 999,17192
2066,000 1501,35975 1007,930091 999,168633
2067,000 1502,795418 1007,838421 999,165346
2068,000 1504,231087 1007,746752 999,162059
2069,000 1505,666755 1007,655082 999,158772
2070,000 1507,102424 1007,563413 999,155485
2071,000 1508,538092 1007,471743 999,152198
2072,000 1509,973761 1007,380074 999,148911
2073,000 1511,40943 1007,288404 999,145624
2074,000 1512,845098 1007,196735 999,142337
2075,000 1514,280767 1007,105065 999,13905
2076,000 1515,716435 1007,013396 999,135763
2077,000 1517,152104 1006,921726 999,132476
2078,000 1518,587772 1006,830057 999,129189
2079,000 1520,038614 1006,710533 999,125573
2080,000 1521,519719 1006,535456 999,121299
2081,000 1523,000823 1006,360379 999,117026
2082,000 1524,481928 1006,185301 999,112752
2083,000 1525,963033 1006,010224 999,108478
2084,000 1527,444137 1005,835147 999,104205
2085,000 1528,925242 1005,66007 999,099931
2086,000 1530,406347 1005,484993 999,095657
2087,000 1531,887451 1005,309915 999,091384
2088,000 1533,368556 1005,134838 999,08711
2089,000 1534,849661 1004,959761 999,082836
2090,000 1536,330765 1004,784684 999,078563
2091,000 1537,81187 1004,609607 999,074289
2092,000 1539,292975 1004,434529 999,070015
2093,000 1540,789685 1004,229644 999,06576
2094,000 1542,323793 1003,953326 999,06155
2095,000 1543,857901 1003,677008 999,057339
2096,000 1545,392009 1003,400691 999,053129
2097,000 1546,926116 1003,124373 999,048919
2098,000 1548,460224 1002,848055 999,044708
2099,000 1549,994332 1002,571737 999,040498
2100,000 1551,52844 1002,295419 999,036287
2101,000 1553,062548 1002,019101 999,032077
2102,000 1554,596656 1001,742783 999,027866
2103,000 1556,130764 1001,466465 999,023656
2104,000 1557,664871 1001,190147 999,019446
2105,000 1559,198979 1000,91383 999,015235
2106,000 1560,733087 1000,637512 999,011025
2107,000 1562,267195 1000,361194 999,006814
2108,000 1563,801303 1000,084876 999,002604
2109,000 1565,35088 999,77564 998,99849
2110,000 1566,925525 999,413057 998,994533
2111,000 1568,50017 999,050474 998,990577
2112,000 1570,074816 998,687891 998,98662
2113,000 1571,649461 998,325308 998,982663
2114,000 1573,224106 997,962726 998,978706
2115,000 1574,798752 997,600143 998,97475
2116,000 1576,373397 997,23756 998,970793
2117,000 1577,948042 996,874977 998,966836
2118,000 1579,522687 996,512394 998,962879
2119,000 1581,097333 996,149812 998,958923
2120,000 1582,671978 995,787229 998,954966
2121,000 1584,246623 995,424646 998,951009
2122,000 1585,821269 995,062063 998,947052
2123,000 1587,396921 994,687685 998,942487
2124,000 1588,97366 994,300595 998,937267
2125,000 1590,550398 993,913505 998,932047
2126,000 1592,127136 993,526415 998,926827
2127,000 1593,703874 993,139326 998,921607
2128,000 1595,280613 992,752236 998,916387
2129,000 1596,857351 992,365146 998,911167
2130,000 1598,434089 991,978056 998,905947
2131,000 1600,010828 991,590966 998,900727
2132,000 1601,587566 991,203877 998,895507
2133,000 1603,164304 990,816787 998,890287
2134,000 1604,741043 990,429697 998,885067
2135,000 1606,317781 990,042607 998,879847
2136,000 1607,894519 989,655518 998,874627
2137,000 1609,455051 989,271207 998,873423
2138,000 1611,013369 988,887275 998,872767
2139,000 1612,571688 988,503344 998,872111
2140,000 1614,130006 988,119413 998,871455
2141,000 1615,688324 987,735481 998,870799
2142,000 1617,246642 987,35155 998,870143
2143,000 1618,804961 986,967618 998,869487
2144,000 1620,363279 986,583687 998,868831
2145,000 1621,921597 986,199756 998,868176
2146,000 1623,479915 985,815824 998,86752
2147,000 1625,038234 985,431893 998,866864
