Номер Координата    X   Y   H
1817,000 1143,023281 997,730309 999,753703
1818,000 1144,568403 997,78905 999,750374
1819,000 1146,100995 997,847974 999,747311
1820,000 1147,633587 997,906898 999,744247
1821,000 1149,16618 997,965822 999,741184
1822,000 1150,698772 998,024746 999,738121
1823,000 1152,231364 998,08367 999,735058
1824,000 1153,763957 998,142594 999,731995
1825,000 1155,296549 998,201519 999,728932
1826,000 1156,829141 998,260443 999,725869
1827,000 1158,361733 998,319367 999,722806
1828,000 1159,894326 998,378291 999,719743
1829,000 1161,426918 998,437215 999,71668
1830,000 1162,95951 998,496139 999,713617
1831,000 1164,481366 998,55406 999,710725
1832,000 1166,000516 998,611729 999,707878
1833,000 1167,519666 998,669397 999,70503
1834,000 1169,038817 998,727065 999,702182
1835,000 1170,557967 998,784733 999,699334
1836,000 1172,077117 998,842401 999,696486
1837,000 1173,596267 998,90007 999,693639
1838,000 1175,115417 998,957738 999,690791
1839,000 1176,634568 999,015406 999,687943
1840,000 1178,153718 999,073074 999,685095
1841,000 1179,672868 999,130743 999,682247
1842,000 1181,192018 999,188411 999,679399
1843,000 1182,708968 999,246213 999,676487
1844,000 1184,214142 999,304734 999,673232
1845,000 1185,719315 999,363254 999,669976
1846,000 1187,224489 999,421775 999,66672
1847,000 1188,729663 999,480295 999,663465
1848,000 1190,234836 999,538816 999,660209
1849,000 1191,74001 999,597336 999,656953
1850,000 1193,245184 999,655857 999,653698
1851,000 1194,750358 999,714377 999,650442
1852,000 1196,255531 999,772898 999,647186
1853,000 1197,760705 999,831418 999,643931
1854,000 1199,265879 999,889939 999,640675
1855,000 1200,771052 999,948459 999,63742
1856,000 1202,264196 1000,007228 999,634498
1857,000 1203,755561 1000,066033 999,631626
