№	Координата	Профиль правый	Ширина правой колеи	План правый	Уровень
170	 5179	50012.35047	1537	54981.75936	26
171	 5180	50012.35047	1537	55281.76896	26
172	 5181	50012.35047	1537	55581.77856	23
173	 5182	50002.35	1537	55901.7888	21
174	 5183	50002.35	1537	56181.79776	21
175	 5184	50002.35	1537	56481.80736	22
176	 5185	49982.34906	1537	56771.816640000005	22
177	 5186	49982.34906	1537	57061.82592	25
178	 5187	49982.34906	1537	57361.83552	25
179	 5188	49982.34906	1537	57641.84448	24
180	 5189	49972.34859	1537	57941.85408	23
181	 5190	49972.34859	1537	58241.86368	22
182	 5191	49972.34859	1537	58521.87264000001	22
183	 5192	49972.34859	1537	58801.8816	22
184	 5193	49952.34765	1536	59091.890880000006	22
185	 5194	49952.34765	1536	59381.900160000005	21
186	 5195	49952.34765	1532	59681.90976	20
187	 5196	49952.34765	1530	59981.91936	22
188	 5197	49942.34718	1528	60281.928960000005	23
189	 5198	49942.34718	1526	60581.93856	23
190	 5199	49932.34671	1525	60861.94752	26
191	 5200	49932.34671	1525	61161.95712	26
192	 5201	49942.34718	1525	61441.96608	24
193	 5202	49942.34718	1525	61721.975040000005	20
194	 5203	49932.34671	1523	62011.98432	20
195	 5204	49932.34671	1521	62301.9936	18
196	 5205	49922.346240000006	1521	62582.00256	17
197	 5206	49922.346240000006	1520	62882.012160000006	17
198	 5207	49922.346240000006	1520	63122.01984	15
199	 5208	49922.346240000006	1520	63362.02752	12
200	 5209	49922.346240000006	1520	63672.03744000001	10
201	 5210	49922.346240000006	1520	63982.04736	8
202	 5211	49912.34577	1520	64222.05504	8
203	 5212	49912.34577	1520	64462.062719999994	8
204	 5213	49912.34577	1520	64732.07136000001	-2
205	 5214	49912.34577	1520	65002.08	-2
206	 5215	49912.34577	1520	65262.08832000001	-15
207	 5216	49912.34577	1520	65522.096639999996	-19
208	 5217	49912.34577	1520	65782.10496	-19
209	 5218	49902.3453	1520	66042.11328	-14
210	 5219	49892.34483	1520	66262.12032	-14
211	 5220	49892.34483	1520	66502.128	-11
212	 5221	49882.34436	1520	66762.13632	-7
213	 5222	49882.34436	1520	67022.14464	-7
214	 5223	49882.34436	1520	67262.15232000001	-3
215	 5224	49882.34436	1520	67502.16	-9
216	 5225	49882.34436	1520	67732.16736	-9
217	 5226	49882.34436	1520	67962.17472	-22
218	 5227	49872.34389	1520	68192.18208	-22
219	 5228	49862.34342	1520	68422.18944	-30
220	 5229	49862.34342	1520	68642.19648	-30
221	 5230	49862.34342	1520	68862.20352	-30
222	 5231	49862.34342	1520	69072.21024	2
223	 5232	49862.34342	1520	69282.21696	4
224	 5233	49862.34342	1520	69512.22432000001	4
225	 5234	49862.34342	1520	69742.23168	2
226	 5235	49862.34342	1520	69952.2384	4
227	 5236	49862.34342	1520	70162.24511999999	2
228	 5237	49842.34248000001	1520	70382.25216	1
229	 5238	49842.34248000001	1520	70582.25856	0
230	 5239	49842.34248000001	1520	70762.26432	0
231	 5240	49842.34248000001	1520	70942.27008	1
232	 5241	49832.34201	1520	71122.27584	3
233	 5242	49832.34201	1520	71322.28224	3
234	 5243	49822.34154	1520	71512.28832	8
235	 5244	49822.34154	1520	71702.2944	10
236	 5245	49822.34154	1520	71902.30080000001	10
237	 5246	49822.34154	1520	72102.3072	10
238	 5247	49822.34154	1520	72282.31296000001	8
239	 5248	49822.34154	1520	72482.31936000001	5
240	 5249	49812.34107	1520	72642.32448000001	5
241	 5250	49812.34107	1520	72802.3296	6
242	 5251	49812.34107	1520	72962.33472	8
243	 5252	49812.34107	1520	73142.34048	8
244	 5253	49802.340599999996	1520	73302.3456	8
245	 5254	49802.340599999996	1520	73462.35072	6
246	 5255	49802.340599999996	1520	73612.35552	3
247	 5256	49792.34013	1520	73762.36032	3
248	 5257	49792.34013	1520	73922.36544000001	0
249	 5258	49792.34013	1520	74062.36992000001	2
250	 5259	49792.34013	1520	74222.37504	5
251	 5260	49792.34013	1520	74362.37952	5
252	 5261	49792.34013	1520	74502.384	8
253	 5262	49792.34013	1520	74642.38848000001	17
254	 5263	49782.339660000005	1520	74772.39264	17
255	 5264	49782.339660000005	1520	74902.3968	34
256	 5265	49782.339660000005	1520	75042.40128	43
257	 5266	49772.339190000006	1520	75162.40512	41
258	 5267	49772.339190000006	1520	75292.40928	41
259	 5268	49772.339190000006	1520	75422.41344	33
260	 5269	49772.339190000006	1520	75522.41664	28
261	 5270	49762.33872	1520	75642.42048	28
262	 5271	49762.33872	1520	75762.42432	26
263	 5272	49752.33825	1520	75882.42816	21
264	 5273	49752.33825	1520	76002.432	15
265	 5274	49752.33825	1520	76102.43519999999	15
266	 5275	49742.33778	1520	76222.43904	18
267	 5276	49742.33778	1520	76322.44223999999	29
268	 5277	49732.337309999995	1520	76422.44544000001	29
269	 5278	49732.337309999995	1520	76522.44864	33
270	 5279	49722.33684	1520	76612.45152	31
271	 5280	49722.33684	1520	76702.4544	24
272	 5281	49722.33684	1520	76792.45728	24
273	 5282	49722.33684	1520	76882.46016	13
274	 5283	49722.33684	1520	76972.46304	10
275	 5284	49722.33684	1520	77062.46592	10
276	 5285	49722.33684	1520	77062.46592	14
277	 5286	49712.336370000005	1520	77262.47232000002	11
278	 5287	49712.336370000005	1520	77322.47424	3
279	 5288	49712.336370000005	1520	77402.4768	3
280	 5289	49712.336370000005	1520	77482.47936000001	1
281	 5290	49712.336370000005	1520	77562.48192	2
282	 5291	49702.335900000005	1520	77632.48415999999	2
283	 5292	49702.335900000005	1520	77702.48640000001	3
284	 5293	49692.33543	1520	77782.48896	3
285	 5294	49692.33543	1520	77862.49152	-3
286	 5295	49692.33543	1520	77932.49376000001	-3
287	 5296	49692.33543	1520	78002.496	-13
288	 5297	49692.33543	1520	78062.49792000001	-15
289	 5298	49692.33543	1520	78142.50048	-15
290	 5299	49692.33543	1520	78202.50240000001	-13
291	 5300	49692.33543	1520	78262.50432000001	-21
292	 5301	49682.33496	1520	78322.50624	-19
293	 5302	49682.33496	1520	78382.50816	-19
294	 5303	49682.33496	1520	78422.50944000001	-19
295	 5304	49682.33496	1520	78482.51136	-21
296	 5305	49672.33449	1520	78532.51296000001	-21
297	 5306	49672.33449	1520	78582.51456	-19
298	 5307	49672.33449	1520	78642.51648	-16
299	 5308	49672.33449	1520	78702.5184	-14
300	 5309	49662.334019999995	1520	78742.51968	-14
301	 5310	49662.334019999995	1520	78782.52096000001	-8
302	 5311	49662.334019999995	1520	78832.52256	-3
303	 5312	49662.334019999995	1520	78872.52384000001	-3
304	 5313	49662.334019999995	1520	78942.52608	0
305	 5314	49662.334019999995	1520	79002.528	-1
306	 5315	49672.33449	1520	79022.52864	1
307	 5316	49672.33449	1520	79042.52928	1
308	 5317	49672.33449	1520	79092.53088	4
309	 5318	49672.33449	1520	79142.53248000001	4
310	 5319	49672.33449	1520	79182.53376	4
311	 5320	49672.33449	1520	79222.53504	3
312	 5321	49672.33449	1520	79272.53664	1
313	 5322	49672.33449	1520	79322.53824	1
314	 5323	49672.33449	1520	79342.53888000001	1
315	 5324	49672.33449	1520	79362.53952	0
316	 5325	49672.33449	1520	79402.5408	-2
317	 5326	49672.33449	1520	79442.54208	-2
318	 5327	49672.33449	1520	79472.54304	0
319	 5328	49672.33449	1520	79502.54400000001	1
320	 5329	49672.33449	1520	79542.54528	1
321	 5330	49672.33449	1520	79582.54656	1
322	 5331	49672.33449	1520	79602.5472	4
323	 5332	49662.334019999995	1520	79622.54784000001	3
324	 5333	49662.334019999995	1520	79662.54912	0
325	 5334	49662.334019999995	1520	79702.55040000001	0
326	 5335	49662.334019999995	1520	79722.55104	0
327	 5336	49662.334019999995	1520	79742.55168	1
328	 5337	49672.33449	1520	79762.55232	1
329	 5338	49672.33449	1520	79782.55296	2
330	 5339	49672.33449	1520	79822.55424	2
331	 5340	49672.33449	1520	79842.55488000001	2
332	 5341	49672.33449	1520	79872.55584	1
333	 5342	49672.33449	1520	79902.5568	1
334	 5343	49662.334019999995	1520	79922.55744	0
335	 5344	49662.334019999995	1520	79942.55808	0
336	 5345	49672.33449	1520	79982.55936000001	-2
337	 5346	49672.33449	1520	80022.56064	-2
338	 5347	49672.33449	1520	80032.56096	-2
339	 5348	49672.33449	1520	80042.56128000001	-1
340	 5349	49662.334019999995	1520	80072.56224	0
341	 5350	49662.334019999995	1520	80102.5632	0
342	 5351	49662.334019999995	1520	80112.56352	0
343	 5352	49662.334019999995	1520	80122.56384	-2
344	 5353	49662.334019999995	1520	80162.56512	-2
345	 5354	49662.334019999995	1520	80202.56640000001	-3
346	 5355	49662.334019999995	1520	80212.56672	-3
347	 5356	49662.334019999995	1520	80222.56704000001	-5
348	 5357	49662.334019999995	1520	80252.568	-11
349	 5358	49662.334019999995	1520	80282.56896	-11
350	 5359	49662.334019999995	1520	80302.5696	-8
351	 5360	49662.334019999995	1520	80322.57024	-6
352	 5361	49662.334019999995	1520	80352.57119999999	-6
353	 5362	49662.334019999995	1520	80382.57216	-7
354	 5363	49672.33449	1520	80402.57280000001	-7
355	 5364	49672.33449	1520	80422.57344000001	-7
356	 5365	49672.33449	1520	80442.57408	-5
357	 5366	49672.33449	1520	80482.57536	-6
358	 5367	49672.33449	1520	80502.576	-7
359	 5368	49672.33449	1520	80522.57664	-7
360	 5369	49662.334019999995	1520	80522.57664	-6
361	 5370	49662.334019999995	1520	80542.57728000001	-4
362	 5371	49662.334019999995	1520	80572.57824	-3
363	 5372	49662.334019999995	1519	80602.5792	-3
364	 5373	49662.334019999995	1519	80642.58048	-2
365	 5374	49662.334019999995	1518	80662.58112	-1
366	 5375	49662.334019999995	1518	80682.58176000002	-1
367	 5376	49662.334019999995	1519	80702.5824	1
368	 5377	49662.334019999995	1518	80722.58304	1
369	 5378	49662.334019999995	1519	80742.58368	0
370	 5379	49662.334019999995	1519	80762.58432000001	0
371	 5380	49662.334019999995	1518	80762.58432000001	0
372	 5381	49662.334019999995	1517	80802.5856	-1
373	 5382	49662.334019999995	1517	80852.5872	-1
374	 5383	49652.33355	1517	80882.58816	-3
375	 5384	49652.33355	1517	80902.58880000001	-4
376	 5385	49652.33355	1518	80942.59008	-5
377	 5386	49652.33355	1517	80952.5904	-5
378	 5387	49652.33355	1517	80962.59072	-6
379	 5388	49652.33355	1516	80992.59168	-7
380	 5389	49642.333080000004	1516	81012.59232000001	-7
381	 5390	49642.333080000004	1517	81042.59328000002	-9
382	 5391	49642.333080000004	1516	81062.59392	-10
383	 5392	49642.333080000004	1516	81082.59456	-12
384	 5393	49642.333080000004	1516	81122.59584000001	-12
385	 5394	49642.333080000004	1516	81132.59616	-15
386	 5395	49632.332610000005	1516	81142.59648000001	-17
387	 5396	49632.332610000005	1516	81182.59776	-17
388	 5397	49642.333080000004	1516	81182.59776	-16
389	 5398	49642.333080000004	1516	81242.59968	-16
390	 5399	49642.333080000004	1516	81262.60032000001	-21
391	 5400	49642.333080000004	1516	81282.60096000001	-21
392	 5401	49642.333080000004	1516	81282.60096000001	-27
393	 5402	49642.333080000004	1516	81312.60192	-30
394	 5403	49632.332610000005	1516	81342.60288	-30
395	 5404	49642.333080000004	1516	81362.60352	-34
396	 5405	49632.332610000005	1515	81382.60416	-36
397	 5406	49632.332610000005	1515	81402.60480000002	-35
398	 5407	49622.33214	1514	81402.60480000002	-35
399	 5408	49622.33214	1515	81432.60576	-35
400	 5409	49622.33214	1514	81462.60672	-35
401	 5410	49622.33214	1516	81482.60736000001	-35
402	 5411	49612.33167	1517	81502.60800000001	-35
403	 5412	49622.33214	1518	81522.60864	-37
404	 5413	49622.33214	1517	81562.60992	-38
405	 5414	49622.33214	1516	81562.60992	-38
406	 5415	49622.33214	1517	81582.61056	-36
407	 5416	49622.33214	1517	81622.61184000001	-36
408	 5417	49612.33167	1516	81662.61312	-36
409	 5418	49612.33167	1517	81682.61376000001	-36
410	 5419	49612.33167	1518	81702.6144	-36
411	 5420	49612.33167	1517	81722.61504	-38
412	 5421	49602.3312	1518	81742.61568	-38
413	 5422	49602.3312	1519	81772.61664	-37
414	 5423	49602.3312	1517	81802.6176	-35
415	 5424	49602.3312	1516	81822.61824	-35
416	 5425	49602.3312	1517	81862.61952000001	-34
417	 5426	49602.3312	1519	81872.61984000001	-35
418	 5427	49592.33073	1519	81882.62016	-35
419	 5428	49592.33073	1517	81902.6208	-34
420	 5429	49592.33073	1517	81922.62144	-34
421	 5430	49592.33073	1517	81942.62208	-31
422	 5431	49582.33026	1516	81982.62336000001	-31
423	 5432	49582.33026	1515	81992.62368	-29
424	 5433	49582.33026	1516	82002.624	-25
425	 5434	49582.33026	1517	82022.62464	-19
426	 5435	49582.33026	1515	82042.62528000001	-19
427	 5436	49582.33026	1515	82072.62624	-15
428	 5437	49572.32979	1514	82102.6272	-15
429	 5438	49572.32979	1512	82122.62784	-15
430	 5439	49562.329320000004	1512	82142.62848	-16
431	 5440	49562.329320000004	1512	82162.62912	-13
432	 5441	49562.329320000004	1512	82182.62976000001	-9
433	 5442	49562.329320000004	1512	82212.63072	-9
