Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
14,88537597656 127352 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,2277 0,619288 -0,542409 -1,98459 1,12257 0 55,76371227210 37,72264072512 168,76045227051 -0,0937341 9,82523 -0,227318
15,11091232300 127667 0,811931 <_____> 1522,91 <Интегр-Навиг> 62,2237 0,618201 -0,536405 -1,95379 1,11302 0 55,76371117438 37,72264147184 168,74369812012 0,106787 9,88679 -0,310264
15,33644866943 127986 1,62386 <_____> 1522,91 <Интегр-Навиг> 62,2291 0,667504 -0,531238 -1,95842 1,11595 0 55,76370961513 37,72264304855 168,73420715332 -0,0804921 9,82867 -0,00231643
15,56198406219 128297 0,811931 <_____> 1522,91 <Интегр-Навиг> 62,2308 0,669977 -0,519946 -2,04341 1,15438 0 55,76370809038 37,72264458878 168,72471618652 -0,283069 9,90374 0,04471
15,78752040863 128599 0,811927 <_____> 1522,91 <Интегр-Навиг> 62,2266 0,595408 -0,523063 -2,00972 1,18234 0 55,76370670484 37,72264566965 168,71269226074 -0,679131 9,9313 -0,938261
16,01305580139 128907 0,811931 <_____> 1522,71 <Интегр-Навиг> 62,1896 0,439951 -0,5481 -2,00567 1,14625 0 55,76370516897 37,72264722694 168,70469665527 -0,167341 9,85256 0,00860845
16,23859214783 129210 0,811931 <_____> 1522,51 <Интегр-Навиг> 62,1421 0,376642 -0,537462 -2,07917 1,18138 0 55,76370364229 37,72264877355 168,69609069824 -0,140028 9,78168 0,0138739
16,46412849426 129511 1,62386 <_____> 1522,51 <Интегр-Навиг> 62,0779 0,327101 -0,533656 -2,0182 1,14312 0 55,76370215749 37,72264989665 168,68811035156 -0,174975 9,61381 -0,192436
16,68966484070 129820 0,811931 <_____> 1522,31 <Интегр-Навиг> 62,0313 0,250842 -0,51205 -1,99329 1,14803 0 55,76370063231 37,72265144995 168,67927551270 -0,101953 9,73475 -0,206406
16,91520118713 130127 0,811931 <_____> 1521,3 <Интегр-Навиг> 62,0225 0,228407 -0,515588 -2,00765 1,19607 0 55,76369908739 37,72265302359 168,67086791992 -0,396297 10,1736 0,300803
17,14073562622 130430 0,811931 <_____> 1520,49 <Интегр-Навиг> 61,9363 0,326036 -0,523044 -2,05341 1,16482 0 55,76369756022 37,72265457402 168,66339111328 -0,142743 9,93085 0,0824223
17,36627197266 130735 1,62385 <_____> 1520,49 <Интегр-Навиг> 61,9238 0,311926 -0,471393 -2,03308 1,17252 0 55,76369601617 37,72265568544 168,64935302734 0,19783 9,5181 -0,166003
