Путь Время,mc Скорость Отметка Шаблон Статус Курс Крен Тангаж Vn Ve Vh Широта Долгота Высота Ax Ay Az 
772,91186523438 42793 -2,43567 <_____> 1516,45 <Интегр-Навиг> 46,1405 0,067422 -0,0407635 4,0199 -3,64762 0 55,75872485775 37,72834370257 180,09841918945 -0,237816 9,66974 -0,0522372
772,68634033203 42924 -2,43567 <_____> 1516,45 <Интегр-Навиг> 46,1299 0,0564051 -0,0344822 4,02429 -3,65048 0 55,75872619615 37,72834155140 180,10011291504 -0,0901681 9,57986 -0,0822863
772,46081542969 43057 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,1142 0,0540323 -0,0484158 4,02168 -3,64718 0 55,75872753422 37,72833939985 180,10173034668 0,0048026 9,9439 -0,0201475
772,23529052734 43189 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,1044 0,0563285 -0,0510738 4,02569 -3,65122 0 55,75872887269 37,72833724608 180,10333251953 0,00382634 10,0097 -0,0628762
772,00976562500 43322 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,0872 0,0175032 -0,0540598 4,02441 -3,6525 0 55,75873021038 37,72833509202 180,10498046875 -0,00789249 9,58252 -0,15404
771,78417968750 43454 -2,43567 <_____> 1516,45 <Интегр-Навиг> 46,0731 0,0323223 -0,0681999 4,02541 -3,6615 0 55,75873154871 37,72833293476 180,10652160645 0,278013 9,83055 -0,19939
771,55865478516 43586 -2,43567 <_____> 1516,45 <Интегр-Навиг> 46,0587 -0,00238524 -0,0720867 4,05297 -3,67939 0 55,75873261035 37,72833010089 180,16522216797 -0,129525 10,0129 -0,273601
771,33312988281 43718 -2,43567 <_____> 1516,25 <Интегр-Навиг> 46,037 0,0584859 -0,0721301 4,04699 -3,6875 0 55,75873395719 37,72832792539 180,16722106934 -0,01905 9,83036 0,0820351
771,10760498047 43849 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,0027 0,021361 -0,0708011 4,04589 -3,68697 0 55,75873530172 37,72832575078 180,16911315918 0,113562 9,9872 -0,196679
770,88208007813 43980 -2,43589 <_____> 1516,45 <Интегр-Навиг> 45,9839 -0,0232638 -0,0790831 4,08633 -3,72549 0 55,75873658641 37,72832367343 180,17082214355 0,133284 9,87012 -0,0259122
770,65655517578 44110 -2,43589 <_____> 1516,45 <Интегр-Навиг> 45,9378 0,195558 -0,0831544 4,087 -3,73049 0 55,75873794647 37,72832147059 180,17271423340 0,394617 9,85954 -0,0824619
770,43096923828 44240 -2,43567 <_____> 1516,25 <Интегр-Навиг> 45,9162 0,0468596 -0,0687856 4,0588 -3,70902 0 55,75873923278 37,72831938522 180,17451477051 0,145437 9,82238 -0,209631
770,20544433594 44371 -2,43567 <_____> 1516,25 <Интегр-Навиг> 45,9025 0,0492765 -0,0769704 4,07859 -3,72922 0 55,75874058558 37,72831719346 180,17637634277 -0,0813566 9,84507 -0,0947707
769,97991943359 44501 -2,43567 <_____> 1515,84 <Интегр-Навиг> 45,8866 0,104787 -0,0655432 4,09842 -3,74405 0 55,75874187784 37,72831509724 180,17810058594 -0,0129344 10,0024 -0,132892
769,75439453125 44630 -2,43589 <_____> 1515,24 <Интегр-Навиг> 45,8677 0,165316 -0,0549548 4,08743 -3,74209 0 55,75874288834 37,72831234790 180,20443725586 -0,111557 9,672 -0,129739
769,52886962891 44760 -2,43589 <_____> 1514,83 <Интегр-Навиг> 45,8649 0,0973119 -0,047948 4,087 -3,74036 0 55,75874417836 37,72831025116 180,20639038086 -0,0376198 9,86666 -0,162422
769,30328369141 44889 -2,43589 <_____> 1514,63 <Интегр-Навиг> 45,8699 0,0228741 -0,0220908 4,07672 -3,73954 0 55,75874553555 37,72830804489 180,20849609375 -0,0818772 9,73678 0,0251087
769,07775878906 45020 -2,43589 <_____> 1514,43 <Интегр-Навиг> 45,8692 0,0494406 -0,0207119 4,06975 -3,73388 0 55,75874682377 37,72830595107 180,21046447754 -0,0388571 9,73658 0,131673
768,85223388672 45150 -2,43589 <_____> 1514,23 <Интегр-Навиг> 45,8647 0,142256 -0,00636756 4,04178 -3,70391 0 55,75874817357 37,72830375646 180,21244812012 -0,0216861 10,0322 -0,0916221
768,62670898438 45282 -2,43589 Piket 1514,02 <Интегр-Навиг> 45,8621 0,0295288 0,0121271 3,99852 -3,66215 0 55,75874951019 37,72830158317 180,21453857422 0,022473 9,56606 0,126709
768,40118408203 45415 -2,43567 <_____> 1513,82 <Интегр-Навиг> 45,8761 0,0290652 0,0253719 3,99299 -3,64637 0 55,75875083519 37,72829943170 180,21647644043 0,181927 9,94706 -0,232844
768,17559814453 45549 -2,43567 <_____> 1513,82 <Интегр-Навиг> 45,9182 -0,07195 0,0431386 3,99727 -3,6536 0 55,75875216272 37,72829728149 180,21829223633 -0,101326 9,66322 0,365093
767,95007324219 45682 -2,43567 <_____> 1513,82 <Интегр-Навиг> 45,9394 0,115461 0,0446287 3,99498 -3,6468 0 55,75875315157 37,72829463275 180,27832031250 0,19282 9,99506 -0,197039
767,72454833984 45813 -2,43589 <_____> 1514,02 <Интегр-Навиг> 45,9887 -0,145532 0,0719805 4,02731 -3,67534 0 55,75875441805 37,72829257835 180,28053283691 0,270654 9,83909 -0,0855327
767,49902343750 45944 -2,43589 <_____> 1514,23 <Интегр-Навиг> 45,9921 -0,0586025 0,0939463 4,06777 -3,71795 0 55,75875576293 37,72829039822 180,28295898438 0,154191 9,7279 -0,241945
767,27349853516 46074 -2,43589 <_____> 1514,43 <Интегр-Навиг> 46,0333 -0,146833 0,107035 4,12619 -3,77138 0 55,75875712418 37,72828819012 180,28518676758 0,101922 9,88819 -0,471892
767,04797363281 46201 -2,43589 <_____> 1514,63 <Интегр-Навиг> 46,0313 -0,0485271 0,121665 4,18262 -3,82748 0 55,75875843668 37,72828606415 180,28727722168 -0,172957 9,60075 0,0880766
766,82238769531 46328 -3,24756 <_____> 1514,83 <Интегр-Навиг> 46,0506 -0,127496 0,139445 4,21206 -3,85682 0 55,75875976556 37,72828390827 180,28948974609 0,0129733 9,99964 -0,0416283
766,59686279297 46453 -3,24756 <_____> 1515,24 <Интегр-Навиг> 46,0625 -0,0972009 0,161198 4,22358 -3,85954 0 55,75876102761 37,72828186056 180,29150390625 0,18798 10,0111 0,00955933
766,37133789063 46579 -3,24756 <_____> 1515,44 <Интегр-Навиг> 46,0533 -0,125795 0,186103 4,2236 -3,86377 0 55,75876187531 37,72827895564 180,29516601563 0,00421959 9,46768 0,0569411
766,14581298828 46704 -2,43589 <_____> 1516,04 <Интегр-Навиг> 46,0663 -0,0837092 0,188974 4,22798 -3,8686 0 55,75876321066 37,72827678834 180,29728698730 0,0208544 9,67436 -0,166807
765,92028808594 46829 -2,43589 <_____> 1516,04 <Интегр-Навиг> 46,0729 -0,110382 0,204025 4,23555 -3,88047 0 55,75876454829 37,72827461903 180,29940795898 -0,264407 9,74748 -0,288511
765,69470214844 46955 -2,43589 <_____> 1516,25 <Интегр-Навиг> 46,0768 -0,0792511 0,218017 4,23822 -3,88152 0 55,75876588717 37,72827244656 180,30163574219 0,101199 9,9445 0,151511
765,46917724609 47079 -2,43589 <_____> 1516,25 <Интегр-Навиг> 46,0848 -0,0860314 0,235223 4,24774 -3,8779 0 55,75876715646 37,72827038584 180,30369567871 0,132529 9,91861 0,0286421
765,24365234375 47204 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,0785 -0,0797558 0,259544 4,24644 -3,88109 0 55,75876849727 37,72826821150 180,30593872070 -0,0566521 9,37344 0,124884
765,01812744141 47329 -2,43589 <_____> 1516,45 <Интегр-Навиг> 46,0854 -0,0687899 0,269037 4,2521 -3,88876 0 55,75876983917 37,72826603310 180,30810546875 0,21077 9,89123 -0,324786
764,79260253906 47454 -2,43567 <_____> 1516,45 <Интегр-Навиг> 46,0907 -0,0929451 0,293318 4,24714 -3,89553 0 55,75877118205 37,72826385438 180,31033325195 -0,0526721 9,71012 0,291811
764,56707763672 47578 -2,43567 <_____> 1516,45 <Интегр-Навиг> 46,0904 -0,0712121 0,306375 4,24927 -3,89392 0 55,75877208371 37,72826123243 180,32470703125 0,0535722 9,82413 0,0180751
764,34149169922 47703 -2,43567 <_____> 1516,45 <Интегр-Навиг> 46,0982 -0,0820239 0,333199 4,2561 -3,89284 0 55,75877342655 37,72825905001 180,32711791992 0,0940573 9,87572 -0,0826307
764,11596679688 47828 -2,43589 <_____> 1516,65 <Интегр-Навиг> 46,0923 -0,0582199 0,35279 4,25347 -3,89489 0 55,75877476985 37,72825686793 180,32960510254 0,0368285 9,59392 -0,115191
763,89044189453 47952 -2,43589 <_____> 1516,65 <Интегр-Навиг> 46,0984 -0,0546509 0,363127 4,25288 -3,89688 0 55,75877604330 37,72825479948 180,33186340332 2,84053e-5 9,55703 -0,152271
763,66491699219 48076 -2,43589 <_____> 1516,85 <Интегр-Навиг> 46,1024 -0,0389468 0,385275 4,25804 -3,90305 0 55,75877738845 37,72825261544 180,33432006836 -0,235382 9,75013 -0,343199
763,43939208984 48201 -2,43589 <_____> 1516,85 <Интегр-Навиг> 46,1057 -0,0205608 0,393466 4,25856 -3,89594 0 55,75877873362 37,72825043164 180,33685302734 0,166847 10,0466 0,0637095
763,21380615234 48325 -3,24756 <_____> 1517,05 <Интегр-Навиг> 46,1115 0,00861878 0,406643 4,26123 -3,89295 0 55,75878000823 37,72824836259 180,33926391602 0,318508 10,0903 0,15051
762,98828125000 48449 -3,24756 <_____> 1517,05 <Интегр-Навиг> 46,1101 0,0221718 0,417397 4,25674 -3,89255 0 55,75878135345 37,72824618044 180,34193420410 0,155209 9,45295 -0,0015418
762,76275634766 48574 -3,24756 <_____> 1517,05 <Интегр-Навиг> 46,114 0,0665169 0,41679 4,2629 -3,89687 0 55,75878221189 37,72824373116 180,37696838379 0,323243 9,83956 -0,288607
762,53723144531 48699 -2,43589 <_____> 1517,05 <Интегр-Навиг> 46,1194 0,0799541 0,41885 4,25878 -3,89536 0 55,75878348684 37,72824166397 180,37979125977 0,0594635 9,87738 -0,326904
762,31170654297 48823 -2,43589 <_____> 1517,05 <Интегр-Навиг> 46,1207 0,127683 0,406104 4,25778 -3,89006 0 55,75878483242 37,72823948318 180,38288879395 0,216354 9,98121 -0,0569848
762,08618164063 48947 -2,43589 <_____> 1517,05 <Интегр-Навиг> 46,1286 0,157475 0,402519 4,25856 -3,89019 0 55,75878617775 37,72823730273 180,38603210449 0,0356697 9,82352 0,024691
