acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
23 0 959 7 15 -23
23 0 959 3 0 -28
0 -23 983 2 2 -16
23 0 1007 13 -1 -26
47 -23 959 13 -1 -26
23 0 983 3 -8 -47
23 0 959 -1 8 -14
23 0 983 -6 3 -3
0 0 1007 25 13 -8
23 -47 1007 25 13 -8
23 0 1007 13 6 -2
0 0 1007 10 2 -36
0 0 983 11 13 -31
0 0 983 1 8 -2
23 -23 1007 1 8 -2
0 -23 1007 2 14 -20
23 23 1007 8 -9 -30
23 -23 983 9 0 -23
47 0 983 4 1 0
47 -23 1007 4 1 0
23 0 1007 0 13 4
0 0 959 4 5 -30
47 -23 1031 -1 -6 -13
71 -23 983 -10 0 -21
23 0 983 -10 0 -21
23 0 959 8 -2 -32
47 0 983 21 15 -37
23 -47 983 -3 7 -39
23 -71 983 -17 -1 -36
0 0 983 -17 -1 -36
23 -23 983 -1 7 -21
-23 0 935 12 4 -7
47 23 959 13 4 -37
47 0 911 33 5 -43
47 0 983 33 5 -43
0 -23 1007 14 6 -49
0 0 1007 -3 1 -13
23 -23 1007 13 3 -14
0 0 959 23 -3 -36
23 -47 1007 23 -3 -36
0 -47 983 2 -4 -22
0 0 1007 -6 1 4
23 0 983 -9 -6 0
47 0 1007 -13 2 -3
23 0 983 -13 2 -3
47 -23 935 -4 -5 -18
0 -23 959 -3 -11 -21
47 -47 1007 -16 2 -13
23 23 1031 3 8 -29
47 -23 1007 3 8 -29
23 -47 959 -3 2 -34
71 0 1007 -13 9 -27
0 -23 983 -9 6 -10
47 0 1007 1 -5 -6
0 0 959 1 -5 -6
23 0 935 -4 -13 -21
0 0 1007 -4 -27 -35
0 0 983 -6 -15 -4
47 0 983 0 0 -25
0 23 959 0 0 -25
23 0 959 7 8 -24
47 0 1007 7 24 -38
0 0 983 7 15 -19
0 -23 983 7 15 -20
0 -23 1031 2 -1 -20
23 0 983 14 9 -1
23 -23 935 1 -3 -3
23 -23 959 4 2 -5
23 -23 1031 4 2 -14
23 -71 1031 1 12 -14
47 0 935 6 -3 -15
0 -23 983 9 8 -39
0 0 959 11 -2 -17
0 0 983 11 -2 -17
0 -23 1031 8 0 -26
23 23 983 -2 4 -7
23 0 1007 -13 -14 12
0 0 983 6 2 -24
47 23 983 6 2 -24
