acceleration_X acceleration_Y acceleration_Z angular_velocity_X angular_velocity_Y angular_velocity_Z
8313 16160 8203 16191 8224 8224
8224 16160 8193 8224 8255 8224
8224 16160 31087 31039 8199 8224
8224 16160 31093 31093 8222 8224
8224 16160 8199 8200 16191 8224
16160 259 4128 16160 8224 17696
16160 2307 5152 3616 8224 8224
8224 16160 2425 29984 8313 8224
8224 16160 8208 8202 8194 8224
8224 16160 30979 4985 8480 8224
16160 259 16160 8313 8224 8224
8313 16160 28448 16249 8255 7200
16160 2563 16160 16249 8255 31008
8224 16160 31039 31093 31097 8224
8224 16160 29955 1657 4640 8224
8224 16160 29955 1145 28448 8313
8224 16160 29955 8313 16160 8224
8224 16160 1027 8224 1824 8224
5920 16160 31087 31097 8194 8224
16160 2563 28448 16249 8224 16160
8224 16160 28419 1145 16160 8255
8224 16160 28419 2169 16160 8313
5920 16160 16249 8313 8224 22816
8224 42784 16131 30073 31097 8313
16160 831 8224 544 8224 8224
8224 16160 1795 2848 16160 8313
8224 16160 2307 1056 29984 8313
8224 16160 8193 31093 8204 8224
8224 16160 4355 800 1824 8224
16160 8255 31093 16191 8224 32311
16160 28419 2425 8224 8224 8224
5920 16160 31097 28537 8313 8224
6009 16160 8201 8193 8255 8224
8224 16160 8313 16160 8313 8224
16160 16131 3872 8224 8224 12832
8224 16160 30073 16249 8224 9760
8224 16160 8211 16191 8224 8224
16160 16249 2819 16160 16249 8224
16160 16131 8313 29984 8313 8224
8224 16160 16131 31039 8313 8224
16160 16131 30015 8313 8224 15136
8224 16160 8212 31097 8255 8224
8224 16160 30979 8313 2080 8224
5920 16160 1795 1056 16160 8224
8224 16160 8197 31039 16191 8224
5920 16160 31008 1401 8224 8224
8224 16160 30073 16249 8255 18464
5920 42784 8195 8224 16160 8224
16249 3075 16160 8255 8224 16160
8224 16160 8199 31039 8255 8224
8224 16160 31039 8193 31097 8224
16160 16131 889 288 8224 8224
8313 16160 8200 8193 8196 8224
16160 1283 1312 16160 8224 16160
8224 7968 2564 3104 16160 8224
16160 29955 30073 8313 8224 8224
8224 16160 8199 31039 8195 8224
8224 1824 2564 28448 30073 8313
8224 16160 30073 31097 8313 8224
16160 29955 31097 2681 8224 8224
16249 30979 8313 16160 8224 16160
8224 16160 16131 31097 8313 8224
8224 16160 8224 8199 8197 8224
16160 831 8197 31093 31087 8224
16160 259 2848 3616 8224 8224
16160 29955 16249 8255 8224 16160
16160 29955 30073 8313 8224 8224
8224 16160 16160 16249 8224 11808
8224 16160 8195 8195 8196 8224
16160 29955 16249 8313 8224 8224
8224 1824 16132 2111 8224 8224
8224 16160 8313 28448 8313 8224
8224 16160 8202 31093 8201 8224
16160 1795 16160 8255 8224 4896
8224 16160 8193 8200 8195 8224
8224 16160 8209 8224 8255 8224
8224 16160 16131 16160 8255 4128
8224 16160 8195 8194 8255 8224
16160 30979 31097 30073 8313 8224
8224 1824 3076 4384 800 8224
8224 16160 8200 8202 8255 8224
8224 1824 16132 16160 8224 14368
8224 16160 2681 16160 8224 13856
8224 16160 377 29984 8313 8224
12064 16160 28419 2681 16160 8255
16160 259 31008 16249 8224 8224
8224 16160 8198 8202 16191 8224
16160 1031 31087 8194 8255 8224
5920 16160 31097 16249 8224 14368
8224 16160 31097 30073 8313 8224
8224 16160 2425 5152 8224 8224
16160 16249 2681 1568 8224 8224
8224 42784 16131 16191 8255 16160
16160 16131 16191 8313 8224 7712
16249 30979 1657 16160 8224 1312
16160 2051 31008 16249 8224 13088
8224 16160 31097 31039 8224 8224
16160 2563 16160 16249 8313 8224
12064 16160 2307 1824 29984 8313
16160 771 1056 16160 8224 2848
16160 1795 1568 1056 8224 8224
16160 771 16160 16249 8224 6176
16160 31039 8200 8224 8224 8224
8224 42784 16131 16160 8255 16160
16160 2307 28448 16249 8313 8224
8224 16160 8195 16191 8224 8224
8224 16160 16191 8255 8224 32302
5920 16160 1824 16160 8224 21536
16160 772 31008 16249 8255 14880
16160 8195 1056 2080 8224 8224
8224 16160 8211 16191 8224 8224
16160 16191 30015 8313 8224 16160
16160 5379 31008 30073 8313 8224
8224 16160 29984 16249 8255 17184
8224 16160 515 2592 28448 8313
16249 8195 5152 29984 8313 8224
5920 16160 8201 8199 31093 8224
8224 16160 771 31008 16249 8224
16160 2563 8224 28448 8313 8224
16160 1795 2592 16160 8224 9248
8224 16160 31039 8193 8194 8224
5920 16160 2563 31008 2425 8224
16160 16249 8200 8200 16191 8224
16160 2051 1568 16160 8255 18720
16160 16131 29984 8313 8224 16672
16160 16131 8255 8224 8224 17184
8224 16160 8209 8197 8224 8224
16160 2819 288 16160 8224 8224
16160 29955 30073 30073 8313 8224
8224 16160 8204 8199 8255 8224
16160 1539 1824 29984 8313 8224
8224 16160 8195 31087 16191 8224
8224 16160 8197 8224 31093 8224
16160 831 8200 8200 31097 8224
16160 935 8194 8197 8200 8224
8224 16160 30073 2681 8224 8224
8224 16160 31087 8224 8199 8224
8313 16160 31097 8203 31093 8224
8224 16160 8201 31093 8255 8224
8224 16160 30979 30073 16249 8224
16160 259 29984 16249 8224 8224
8313 16160 5635 2336 16160 8313
8224 16160 8197 31087 8193 8224
5920 16160 28448 31097 8313 8224
8224 16160 8204 8224 8201 8224
8224 16160 2592 31008 8313 8224
16249 31039 2937 16160 8224 16160
16160 831 31093 8224 31087 8224
8224 16160 16131 4415 8224 8224
5920 16160 2592 288 8224 8224
8224 16160 8203 8194 31093 8224
5920 16160 31097 16191 8224 8224
8313 16160 1312 16160 8224 6688
8224 16160 29984 31097 8313 8224
8224 16160 1795 3872 16160 8224
16249 2563 544 16160 8224 29984
16160 771 31008 1657 8224 8224
16160 8255 8224 31093 8224 8224
16160 2307 8224 544 8224 8224
16160 16131 31039 8313 8224 2848
8224 16160 16131 16249 16249 8255
16160 1027 28448 8313 8224 8224
16160 2563 8224 2336 8224 8224
8224 42784 1027 2336 16160 8224
6009 16160 29984 16249 8313 8224
8224 16160 16249 8255 8224 16928
8224 7968 29956 1401 16160 8313
8224 16160 29984 16249 8255 21536
16160 771 2080 16160 8313 8224
16160 2563 16160 30073 8313 8224
16160 30979 377 28448 8313 8224
16160 16191 16249 30073 8313 8224
16160 30979 30073 1401 8224 8224
8224 16160 31087 31097 8255 8224
8224 7968 8196 2080 28448 8313
16160 831 8193 8199 8202 8224
